QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 30
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.68 	ga1: 5.78 	ga2: 0.00 	ga3: 0.31 	ga4: 0.21 	ga5: 0.00 	ga6: 0.34 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.33 	gb1: 0.74 	gb2: 0.32 	gb3: 0.92 	gb4: 0.29 	gb5: 0.82 	gb6: 0.54 	gb7: 0.42 	gb8: 0.66 	gb9: 0.31 	gb10: 0.34 	gb11: 2.83 	gb12: -3.69 	gb13: 1.35 	gb14: -0.63 	gb15: -0.55 	gb16: -2.54 	gb17: 2.54 	gb18: 0.35 	gb19: 0.82
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 5.53 	ga2: 0.02 	ga3: 0.31 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.09 	gb0: 0.25 	gb1: 0.07 	gb2: 0.26 	gb3: 0.27 	gb4: 0.82 	gb5: 0.80 	gb6: 0.81 	gb7: 0.86 	gb8: 0.59 	gb9: 0.20 	gb10: 1.24 	gb11: 2.52 	gb12: -3.05 	gb13: -2.67 	gb14: 0.90 	gb15: 1.01 	gb16: 1.43 	gb17: 1.17 	gb18: -4.11 	gb19: -3.03
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.09 	ga1: 5.82 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.00 	gb0: 0.20 	gb1: 0.21 	gb2: 0.65 	gb3: 0.23 	gb4: 0.56 	gb5: 0.31 	gb6: 0.29 	gb7: 0.19 	gb8: 0.08 	gb9: 0.54 	gb10: -2.21 	gb11: -3.60 	gb12: -1.40 	gb13: 2.97 	gb14: 1.65 	gb15: 1.63 	gb16: 3.44 	gb17: -2.67 	gb18: 0.30 	gb19: 4.28
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.57 	ga1: 6.93 	ga2: 0.00 	ga3: 0.31 	ga4: 0.35 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.83 	gb1: 0.12 	gb2: 0.29 	gb3: 0.17 	gb4: 0.73 	gb5: 0.77 	gb6: 0.64 	gb7: 0.30 	gb8: 0.77 	gb9: 0.44 	gb10: 2.00 	gb11: -0.67 	gb12: -2.67 	gb13: -0.80 	gb14: -2.02 	gb15: -1.12 	gb16: -0.86 	gb17: 0.79 	gb18: 1.79 	gb19: -0.91
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.91 	ga1: 5.38 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.72 	gb1: 0.54 	gb2: 0.45 	gb3: 0.59 	gb4: 0.86 	gb5: 0.21 	gb6: 0.42 	gb7: 0.76 	gb8: 0.86 	gb9: 0.88 	gb10: -3.88 	gb11: -0.93 	gb12: 2.31 	gb13: 0.93 	gb14: -3.67 	gb15: -0.13 	gb16: -2.09 	gb17: 2.48 	gb18: -2.95 	gb19: -1.68
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.90 	ga1: 6.07 	ga2: 0.08 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.70 	gb1: 0.61 	gb2: 0.53 	gb3: 0.60 	gb4: 0.23 	gb5: 0.90 	gb6: 0.47 	gb7: 0.24 	gb8: 0.89 	gb9: 0.63 	gb10: -0.72 	gb11: -3.53 	gb12: -1.22 	gb13: -1.04 	gb14: 0.41 	gb15: 3.65 	gb16: 0.19 	gb17: 1.73 	gb18: -2.77 	gb19: 2.91
			Robot 6 	f: 742.41 	mf: 371.00 	ga0: 0.27 	ga1: 8.12 	ga2: 0.00 	ga3: 0.77 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.51 	gb1: 0.41 	gb2: 0.72 	gb3: 0.65 	gb4: 0.16 	gb5: 0.67 	gb6: 0.32 	gb7: 0.58 	gb8: 0.67 	gb9: 0.68 	gb10: 2.63 	gb11: 2.97 	gb12: 0.76 	gb13: 2.85 	gb14: -1.71 	gb15: -0.57 	gb16: 0.38 	gb17: 0.88 	gb18: -3.71 	gb19: 3.29
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.59 	ga1: 5.53 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.42 	gb1: 0.61 	gb2: 0.53 	gb3: 0.61 	gb4: 0.22 	gb5: 0.87 	gb6: 0.37 	gb7: 0.58 	gb8: 0.23 	gb9: 0.22 	gb10: -1.76 	gb11: 3.42 	gb12: -2.84 	gb13: -3.02 	gb14: 2.88 	gb15: 3.97 	gb16: -2.30 	gb17: -0.10 	gb18: 1.99 	gb19: 0.42
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.42 	ga1: 8.48 	ga2: 0.04 	ga3: 0.52 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.03 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.32 	gb1: 0.51 	gb2: 0.43 	gb3: 0.30 	gb4: 0.42 	gb5: 0.90 	gb6: 0.72 	gb7: 0.54 	gb8: 0.51 	gb9: 0.40 	gb10: -2.29 	gb11: 3.39 	gb12: 0.07 	gb13: -1.92 	gb14: -3.10 	gb15: -1.89 	gb16: 3.31 	gb17: -3.15 	gb18: -1.59 	gb19: 1.06
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 8.05 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.64 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.27 	gb1: 0.72 	gb2: 0.19 	gb3: 0.22 	gb4: 0.63 	gb5: 0.63 	gb6: 0.26 	gb7: 0.58 	gb8: 0.66 	gb9: 0.51 	gb10: -3.21 	gb11: 0.24 	gb12: -1.51 	gb13: 0.28 	gb14: 2.98 	gb15: 2.81 	gb16: 2.91 	gb17: -0.08 	gb18: -3.70 	gb19: 3.27
