QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 80
PointsCollision: -150
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 4	 mr: 0.2	 nc: 0.4	 nm: 0.2	 bmp: 0	 cc: 0
	Repetition 0
		Population 0
			Robot 3 	f: 35.96 	mf: 193.25
			Robot 4 	f: 407.97 	mf: -74.75
			Robot 5 	f: 363.14 	mf: 265.75
			Robot 6 	f: 526.30 	mf: 268.25
			Robot 7 	f: 397.74 	mf: 280.75
			Robot 8 	f: 439.43 	mf: 304.50
			Robot 9 	f: 426.99 	mf: 382.75
		Population 13
			Robot 0 	f: 339.25 	mf: 315.50
			Robot 1 	f: 314.81 	mf: 300.50
			Robot 2 	f: 142.76 	mf: 244.75
			Robot 3 	f: 262.51 	mf: 191.75
			Robot 4 	f: 365.97 	mf: 234.50
			Robot 5 	f: 314.12 	mf: 281.50
			Robot 6 	f: 438.00 	mf: 425.50
			Robot 7 	f: 319.93 	mf: 276.25
			Robot 8 	f: 348.08 	mf: 292.75
			Robot 9 	f: 376.47 	mf: 375.50
		Population 14
			Robot 0 	f: 218.40 	mf: 340.00
			Robot 1 	f: 217.83 	mf: 287.00
			Robot 2 	f: 189.96 	mf: 197.75
			Robot 3 	f: 58.24 	mf: 172.50
			Robot 4 	f: 336.04 	mf: 283.50
			Robot 5 	f: 212.38 	mf: 281.00
			Robot 6 	f: 526.47 	mf: 484.25
			Robot 7 	f: 370.41 	mf: 314.75
			Robot 8 	f: 500.65 	mf: 321.00
			Robot 9 	f: 337.34 	mf: 354.25
		Population 15
			Robot 0 	f: 296.68 	mf: 315.00
			Robot 1 	f: 312.45 	mf: 306.25
			Robot 2 	f: 442.14 	mf: 260.00
			Robot 3 	f: 88.82 	mf: 110.75
			Robot 4 	f: 448.88 	mf: 389.00
			Robot 5 	f: 250.75 	mf: 284.75
			Robot 6 	f: 490.30 	mf: 494.75
			Robot 7 	f: 278.74 	mf: 341.00
			Robot 8 	f: 507.34 	mf: 448.50
			Robot 9 	f: 362.22 	mf: 375.25
		Population 16
			Robot 0 	f: 384.65 	mf: 309.25
			Robot 1 	f: 388.97 	mf: 307.75
			Robot 2 	f: 180.51 	mf: 238.25
			Robot 3 	f: 490.70 	mf: 224.50
			Robot 4 	f: 317.28 	mf: 366.50
			Robot 5 	f: 309.33 	mf: 271.25
			Robot 6 	f: -16.78 	mf: 359.25
			Robot 7 	f: 378.16 	mf: 336.25
			Robot 8 	f: 372.91 	mf: 431.75
			Robot 9 	f: 313.22 	mf: 347.00
		Population 17
			Robot 0 	f: 414.98 	mf: 328.00
			Robot 1 	f: 437.06 	mf: 338.50
			Robot 2 	f: 415.23 	mf: 306.50
			Robot 3 	f: 412.35 	mf: 262.00
			Robot 4 	f: 429.04 	mf: 382.50
