QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 60
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.09 	ga1: 4.24 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.15 	ga6: 0.25 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.78 	gb1: 0.86 	gb2: 0.41 	gb3: 0.39 	gb4: 0.83 	gb5: 0.51 	gb6: 0.75 	gb7: 0.13 	gb8: 0.19 	gb9: 0.39 	gb10: -0.33 	gb11: 0.59 	gb12: -2.33 	gb13: -4.12 	gb14: 0.36 	gb15: -0.94 	gb16: -1.63 	gb17: -0.87 	gb18: 0.43 	gb19: 0.17
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.58 	ga1: 2.37 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.25 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.40 	gb1: 0.82 	gb2: 0.89 	gb3: 0.75 	gb4: 0.85 	gb5: 0.40 	gb6: 0.76 	gb7: 0.84 	gb8: 0.75 	gb9: 0.82 	gb10: -0.58 	gb11: -2.95 	gb12: -1.74 	gb13: -2.33 	gb14: 0.65 	gb15: 1.59 	gb16: 1.43 	gb17: -0.08 	gb18: 0.41 	gb19: 4.03
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.06 	ga1: 4.13 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.25 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.15 	gb1: 0.74 	gb2: 0.76 	gb3: 0.82 	gb4: 0.31 	gb5: 0.27 	gb6: 0.78 	gb7: 0.84 	gb8: 0.16 	gb9: 0.78 	gb10: 2.19 	gb11: 1.82 	gb12: 0.67 	gb13: 1.07 	gb14: 2.38 	gb15: 0.78 	gb16: -3.40 	gb17: -1.90 	gb18: 3.43 	gb19: -1.02
			Robot 3 	f: 392.94 	mf: 196.00 	ga0: 0.47 	ga1: 1.90 	ga2: 0.73 	ga3: 0.00 	ga4: 0.00 	ga5: 0.38 	ga6: 0.25 	ga7: 0.26 	ga8: 0.00 	ga9: 0.37 	ga10: 0.00 	ga11: 0.00 	gb0: 0.76 	gb1: 0.83 	gb2: 0.49 	gb3: 0.68 	gb4: 0.46 	gb5: 0.67 	gb6: 0.19 	gb7: 0.70 	gb8: 0.41 	gb9: 0.40 	gb10: -0.36 	gb11: 2.14 	gb12: -4.08 	gb13: 3.40 	gb14: 0.30 	gb15: 3.76 	gb16: -0.97 	gb17: 0.57 	gb18: 2.34 	gb19: 3.23
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.51 	ga1: 3.48 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.25 	ga7: 0.26 	ga8: 0.04 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.41 	gb1: 0.55 	gb2: 0.75 	gb3: 0.92 	gb4: 0.74 	gb5: 0.25 	gb6: 0.79 	gb7: 0.54 	gb8: 0.72 	gb9: 0.75 	gb10: -1.97 	gb11: 1.39 	gb12: -0.20 	gb13: -0.02 	gb14: -3.08 	gb15: -0.88 	gb16: -2.02 	gb17: -1.79 	gb18: -3.82 	gb19: -2.31
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.70 	ga1: 1.29 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.25 	ga7: 0.31 	ga8: 0.60 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.30 	gb1: 0.84 	gb2: 0.59 	gb3: 0.40 	gb4: 0.36 	gb5: 0.31 	gb6: 0.59 	gb7: 0.59 	gb8: 0.22 	gb9: 0.60 	gb10: -2.20 	gb11: 0.83 	gb12: -3.95 	gb13: 1.26 	gb14: 3.36 	gb15: -0.86 	gb16: -3.93 	gb17: -0.62 	gb18: 0.11 	gb19: 2.70
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.66 	ga1: 1.83 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.29 	ga6: 0.25 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.52 	gb1: 0.07 	gb2: 0.43 	gb3: 0.77 	gb4: 0.70 	gb5: 0.23 	gb6: 0.39 	gb7: 0.78 	gb8: 0.23 	gb9: 0.36 	gb10: 1.00 	gb11: 2.38 	gb12: 0.36 	gb13: 3.70 	gb14: 3.07 	gb15: -0.94 	gb16: 3.14 	gb17: -3.35 	gb18: -3.55 	gb19: -1.88
			Robot 7 	f: 1741.44 	mf: 870.50 	ga0: 0.94 	ga1: 1.18 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.62 	ga7: 0.65 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.82 	gb1: 0.64 	gb2: 0.57 	gb3: 0.83 	gb4: 0.91 	gb5: 0.59 	gb6: 0.10 	gb7: 0.14 	gb8: 0.45 	gb9: 0.24 	gb10: 3.35 	gb11: -3.57 	gb12: -0.22 	gb13: 0.45 	gb14: 3.42 	gb15: -1.52 	gb16: -1.45 	gb17: -2.48 	gb18: -0.55 	gb19: -2.84
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.08 	ga1: 1.22 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.25 	ga7: 0.26 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.31 	gb0: 0.90 	gb1: 0.74 	gb2: 0.67 	gb3: 0.21 	gb4: 0.46 	gb5: 0.68 	gb6: 0.53 	gb7: 0.23 	gb8: 0.15 	gb9: 0.49 	gb10: -3.05 	gb11: 2.04 	gb12: -3.27 	gb13: -1.80 	gb14: -2.12 	gb15: -1.96 	gb16: -1.06 	gb17: 0.87 	gb18: 0.71 	gb19: -3.56
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.55 	ga1: 1.79 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.25 	ga7: 0.26 	ga8: 0.00 	ga9: 0.42 	ga10: 0.00 	ga11: 0.00 	gb0: 0.34 	gb1: 0.36 	gb2: 0.74 	gb3: 0.14 	gb4: 0.76 	gb5: 0.17 	gb6: 0.58 	gb7: 0.79 	gb8: 0.22 	gb9: 0.39 	gb10: -0.99 	gb11: 1.96 	gb12: 0.26 	gb13: 3.63 	gb14: -2.49 	gb15: -3.09 	gb16: 0.79 	gb17: 0.25 	gb18: -2.73 	gb19: 2.66
