QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 9.2	 mr: 0.51	 nc: 0.2	 nm: 0.1	 bmp: 0.58	 cc: 2.65
	Repetition 0
		Population 0
			Robot 8 	f:371.67 	mf: 269.32
			Robot 9 	f:477.32 	mf: 386.77
		Population 13
			Robot 0 	f:401.50 	mf: 192.23
			Robot 1 	f:419.58 	mf: 358.78
			Robot 2 	f:306.38 	mf: 265.06
			Robot 3 	f:423.03 	mf: 233.37
			Robot 4 	f:162.33 	mf: 248.26
			Robot 5 	f:474.97 	mf: 328.27
			Robot 6 	f:-209.73 	mf: 234.37
			Robot 7 	f:471.19 	mf: 429.71
			Robot 8 	f:466.94 	mf: 297.17
			Robot 9 	f:397.27 	mf: 386.65
		Population 14
			Robot 0 	f:480.38 	mf: 217.20
			Robot 1 	f:484.78 	mf: 359.09
			Robot 2 	f:89.01 	mf: 295.87
			Robot 3 	f:376.47 	mf: 231.95
			Robot 4 	f:423.85 	mf: 268.34
			Robot 5 	f:468.36 	mf: 329.10
			Robot 6 	f:474.85 	mf: 242.34
			Robot 7 	f:465.20 	mf: 436.63
			Robot 8 	f:297.71 	mf: 292.43
			Robot 9 	f:487.43 	mf: 386.98
		Population 15
			Robot 0 	f:437.45 	mf: 228.38
			Robot 1 	f:477.79 	mf: 368.73
			Robot 2 	f:179.40 	mf: 278.93
			Robot 3 	f:464.76 	mf: 238.57
			Robot 4 	f:166.87 	mf: 263.89
			Robot 5 	f:495.43 	mf: 403.35
			Robot 6 	f:415.77 	mf: 249.15
			Robot 7 	f:496.47 	mf: 439.51
			Robot 8 	f:416.67 	mf: 288.22
			Robot 9 	f:127.85 	mf: 366.08
		Population 16
			Robot 0 	f:339.80 	mf: 225.86
			Robot 1 	f:525.65 	mf: 373.22
			Robot 2 	f:412.69 	mf: 270.89
			Robot 3 	f:355.38 	mf: 317.51
			Robot 4 	f:26.58 	mf: 261.06
			Robot 5 	f:460.83 	mf: 429.81
			Robot 6 	f:98.34 	mf: 220.59
			Robot 7 	f:462.19 	mf: 436.48
			Robot 8 	f:186.67 	mf: 261.37
			Robot 9 	f:61.76 	mf: 344.63
		Population 17
			Robot 0 	f:300.21 	mf: 220.09
			Robot 1 	f:227.49 	mf: 386.89
			Robot 2 	f:479.82 	mf: 270.43
			Robot 3 	f:394.45 	mf: 312.23
			Robot 4 	f:439.33 	mf: 298.93
			Robot 5 	f:475.83 	mf: 437.88
			Robot 6 	f:427.69 	mf: 245.36
			Robot 7 	f:464.66 	mf: 466.97
			Robot 8 	f:438.03 	mf: 294.84
			Robot 9 	f:395.35 	mf: 349.85
		Population 18
			Robot 0 	f:430.10 	mf: 370.58
			Robot 1 	f:238.50 	mf: 377.98
			Robot 2 	f:493.93 	mf: 305.55
			Robot 3 	f:496.51 	mf: 314.79
			Robot 4 	f:439.65 	mf: 311.58
			Robot 5 	f:398.37 	mf: 428.41
			Robot 6 	f:453.55 	mf: 246.20
			Robot 7 	f:475.88 	mf: 465.82
			Robot 8 	f:293.81 	mf: 321.20
			Robot 9 	f:139.53 	mf: 319.57
		Population 19
			Robot 0 	f:443.12 	mf: 395.14
			Robot 1 	f:488.55 	mf: 383.03
			Robot 2 	f:433.60 	mf: 305.85
			Robot 3 	f:479.72 	mf: 313.58
			Robot 4 	f:249.03 	mf: 288.67
			Robot 5 	f:469.54 	mf: 427.67
			Robot 6 	f:400.90 	mf: 271.08
