QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 1 	f: 0.00 	ga0: 0.29 	ga1: 3.18 	ga2: 0.02 	ga3: 0.05 	ga4: 0.06 	ga5: 0.00 	ga6: 0.00 	gb0: -0.07 	gb1: 0.63 	gb2: 0.30 	gb3: 0.15 	gb4: 0.04 	gb5: 2.46 	gb6: -1.57 	gb7: -0.20 	gb8: 0.19 	gb9: 1.26
			Robot 2 	f: 0.00 	ga0: 0.37 	ga1: 7.23 	ga2: 0.02 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.06 	gb0: -0.15 	gb1: 0.22 	gb2: -0.03 	gb3: 0.04 	gb4: -0.09 	gb5: 1.79 	gb6: -0.83 	gb7: -1.40 	gb8: 1.49 	gb9: 0.19
			Robot 3 	f: 0.00 	ga0: 0.47 	ga1: 3.52 	ga2: 0.00 	ga3: 0.02 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.00 	gb1: -0.03 	gb2: -0.29 	gb3: -0.17 	gb4: -0.01 	gb5: 2.14 	gb6: -1.87 	gb7: -0.81 	gb8: 0.55 	gb9: 0.45
			Robot 4 	f: 0.00 	ga0: 0.51 	ga1: 5.07 	ga2: 0.07 	ga3: 0.22 	ga4: 0.08 	ga5: 0.00 	ga6: 0.00 	gb0: 0.11 	gb1: 0.59 	gb2: -0.63 	gb3: 0.31 	gb4: 0.30 	gb5: 2.09 	gb6: -1.89 	gb7: -1.46 	gb8: 1.17 	gb9: 1.54
			Robot 5 	f: 0.00 	ga0: 0.57 	ga1: 5.54 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.21 	gb0: -0.31 	gb1: 0.06 	gb2: -0.45 	gb3: -0.18 	gb4: 0.34 	gb5: 1.87 	gb6: -0.69 	gb7: -0.71 	gb8: 1.42 	gb9: 1.12
			Robot 6 	f: 0.00 	ga0: 0.54 	ga1: 7.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.32 	gb1: 0.51 	gb2: -0.28 	gb3: 0.04 	gb4: 0.30 	gb5: 2.10 	gb6: -1.74 	gb7: -1.22 	gb8: 1.27 	gb9: 1.49
			Robot 7 	f: 0.00 	ga0: 0.66 	ga1: 5.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.21 	ga6: 0.10 	gb0: -0.45 	gb1: 0.05 	gb2: 0.37 	gb3: -0.56 	gb4: 0.29 	gb5: 2.04 	gb6: -2.03 	gb7: -1.17 	gb8: 1.15 	gb9: 1.21
			Robot 8 	f: 0.00 	ga0: 0.65 	ga1: 6.65 	ga2: 0.10 	ga3: 0.04 	ga4: 0.07 	ga5: 0.00 	ga6: 0.03 	gb0: -0.40 	gb1: 0.37 	gb2: 0.13 	gb3: -0.46 	gb4: -0.17 	gb5: 1.62 	gb6: -0.85 	gb7: -0.13 	gb8: 1.29 	gb9: 1.48
			Robot 9 	f: 0.00 	ga0: 0.50 	ga1: 5.30 	ga2: 0.12 	ga3: 0.07 	ga4: 0.00 	ga5: 0.04 	ga6: 0.00 	gb0: 0.21 	gb1: 0.10 	gb2: 0.37 	gb3: -0.26 	gb4: -0.26 	gb5: 1.03 	gb6: -1.23 	gb7: -0.01 	gb8: 0.42 	gb9: 1.68
			Robot 10 	f: 0.00 	ga0: 0.44 	ga1: 6.80 	ga2: 0.00 	ga3: 0.11 	ga4: 0.00 	ga5: 0.19 	ga6: 0.07 	gb0: -0.31 	gb1: 0.10 	gb2: 0.18 	gb3: -0.77 	gb4: -0.38 	gb5: 1.00 	gb6: -1.28 	gb7: -0.41 	gb8: 1.44 	gb9: 0.99
