QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 1 	f: 0.00 	ga0: 0.44 	ga1: 2.73 	ga2: 0.03 	ga3: 0.00 	ga4: 0.06 	ga5: 0.23 	ga6: 0.00 	gb0: 0.13 	gb1: 2.29 	gb2: 0.37 	gb3: 0.01 	gb4: 0.01 	gb5: -0.08 	gb6: -0.60 	gb7: -1.43 	gb8: 0.63 	gb9: -0.43
			Robot 2 	f: 0.00 	ga0: -4.22 	ga1: 6.15 	ga2: 0.00 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	gb0: -2.14 	gb1: 3.89 	gb2: 0.25 	gb3: -0.01 	gb4: 0.14 	gb5: 0.17 	gb6: -0.72 	gb7: -0.96 	gb8: 0.92 	gb9: -0.60
			Robot 3 	f: 0.00 	ga0: 0.64 	ga1: 3.33 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.05 	ga6: 0.03 	gb0: 0.29 	gb1: 2.63 	gb2: 0.34 	gb3: 0.07 	gb4: 0.21 	gb5: -0.34 	gb6: -0.75 	gb7: -1.20 	gb8: 0.77 	gb9: -0.45
			Robot 4 	f: 0.00 	ga0: 0.61 	ga1: 7.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.13 	gb1: 4.73 	gb2: 0.32 	gb3: -0.04 	gb4: 0.01 	gb5: -0.54 	gb6: -0.63 	gb7: -0.91 	gb8: 0.55 	gb9: -0.63
			Robot 5 	f: 0.00 	ga0: 0.47 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.19 	ga5: 0.00 	ga6: 0.08 	gb0: 0.15 	gb1: 3.44 	gb2: 0.23 	gb3: 0.05 	gb4: 0.23 	gb5: -0.04 	gb6: -0.64 	gb7: -0.81 	gb8: 1.04 	gb9: -0.56
			Robot 6 	f: -560.20 	ga0: -2.05 	ga1: 6.00 	ga2: 0.00 	ga3: 0.05 	ga4: 0.27 	ga5: 0.00 	ga6: 0.00 	gb0: -1.76 	gb1: 3.65 	gb2: 0.21 	gb3: 0.04 	gb4: 0.21 	gb5: -0.03 	gb6: -0.53 	gb7: -1.36 	gb8: 0.72 	gb9: -0.78
			Robot 7 	f: -587.48 	ga0: -2.06 	ga1: 5.53 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.05 	ga6: 0.00 	gb0: -1.90 	gb1: 3.78 	gb2: 0.30 	gb3: 0.14 	gb4: 0.09 	gb5: 0.23 	gb6: -0.74 	gb7: -1.23 	gb8: 0.56 	gb9: -0.26
			Robot 8 	f: 0.00 	ga0: -4.78 	ga1: 3.96 	ga2: 0.00 	ga3: 0.24 	ga4: 0.05 	ga5: 0.00 	ga6: 0.00 	gb0: -2.51 	gb1: 2.08 	gb2: 0.28 	gb3: 0.27 	gb4: 0.01 	gb5: -0.44 	gb6: -1.09 	gb7: -1.18 	gb8: 0.98 	gb9: -0.67
			Robot 9 	f: 0.00 	ga0: 0.47 	ga1: 7.08 	ga2: 0.00 	ga3: 0.00 	ga4: 0.10 	ga5: 0.16 	ga6: 0.00 	gb0: 0.13 	gb1: 4.52 	gb2: 0.13 	gb3: -0.03 	gb4: 0.10 	gb5: -0.01 	gb6: -0.51 	gb7: -1.15 	gb8: 0.88 	gb9: -0.29
			Robot 10 	f: -562.60 	ga0: -5.94 	ga1: 5.55 	ga2: 0.06 	ga3: 0.00 	ga4: 0.00 	ga5: 0.09 	ga6: 0.10 	gb0: -3.74 	gb1: 3.36 	gb2: 0.23 	gb3: 0.05 	gb4: 0.17 	gb5: -0.25 	gb6: -0.81 	gb7: -1.42 	gb8: 0.62 	gb9: -0.48
			Robot 11 	f: 0.00 	ga0: -4.22 	ga1: 6.09 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.07 	gb0: -2.34 	gb1: 3.74 	gb2: 0.24 	gb3: 0.02 	gb4: 0.10 	gb5: -0.08 	gb6: -0.87 	gb7: -1.38 	gb8: 1.13 	gb9: -0.51
			Robot 12 	f: -540.88 	ga0: -2.11 	ga1: 3.44 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.03 	ga6: 0.00 	gb0: -1.91 	gb1: 2.09 	gb2: 0.36 	gb3: 0.05 	gb4: 0.14 	gb5: 0.09 	gb6: -0.80 	gb7: -1.08 	gb8: 0.51 	gb9: -0.49
			Robot 13 	f: 0.00 	ga0: -4.23 	ga1: 2.80 	ga2: 0.07 	ga3: 0.22 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.31 	gb1: 2.57 	gb2: 0.15 	gb3: 0.04 	gb4: 0.16 	gb5: -0.22 	gb6: -0.64 	gb7: -0.83 	gb8: 0.69 	gb9: -0.73
			Robot 14 	f: 0.00 	ga0: 0.58 	ga1: 7.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.58 	gb1: 0.39 	gb2: 0.76 	gb3: 0.09 	gb4: 0.28 	gb5: -0.49 	gb6: -2.66 	gb7: -3.55 	gb8: 2.59 	gb9: -1.63
		Population 2
			Robot 0 	f: -595.98 	ga0: -4.83 	ga1: 6.50 	ga2: 0.00 	ga3: 0.30 	ga4: 0.00 	ga5: 0.11 	ga6: 0.00 	gb0: -2.96 	gb1: 4.18 	gb2: 0.21 	gb3: 0.23 	gb4: -0.00 	gb5: 0.02 	gb6: -0.77 	gb7: -1.23 	gb8: 0.91 	gb9: -0.57
			Robot 1 	f: 0.00 	ga0: 0.51 	ga1: 5.01 	ga2: 0.01 	ga3: 0.00 	ga4: 0.03 	ga5: 0.12 	ga6: 0.00 	gb0: 0.06 	gb1: 3.21 	gb2: 0.36 	gb3: 0.07 	gb4: 0.02 	gb5: 0.00 	gb6: -0.89 	gb7: -1.29 	gb8: 0.81 	gb9: -0.48
			Robot 2 	f: -582.28 	ga0: -1.82 	ga1: 6.73 	ga2: 0.00 	ga3: 0.22 	ga4: 0.16 	ga5: 0.00 	ga6: 0.00 	gb0: -1.56 	gb1: 4.41 	gb2: 0.33 	gb3: 0.20 	gb4: 0.20 	gb5: -0.12 	gb6: -0.80 	gb7: -1.14 	gb8: 0.78 	gb9: -0.55
			Robot 3 	f: 0.00 	ga0: 0.61 	ga1: 5.31 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.03 	ga6: 0.01 	gb0: 0.30 	gb1: 3.37 	gb2: 0.36 	gb3: -0.03 	gb4: 0.21 	gb5: -0.27 	gb6: -0.76 	gb7: -1.24 	gb8: 0.90 	gb9: -0.61
