QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 713.04 	mf: 356.50 	ga0: 1.02 	ga1: 4.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.46 	ga5: 0.22 	ga6: 0.00 	ga7: 0.01 	ga8: 0.67 	ga9: 0.00 	ga10: 0.50 	ga11: 0.00 	gb0: 0.32 	gb1: 0.21 	gb2: 0.47 	gb3: 0.19 	gb4: 0.24 	gb5: 0.51 	gb6: 0.96 	gb7: 0.26 	gb8: 0.74 	gb9: 0.02 	gb10: -0.99 	gb11: -0.28 	gb12: -1.37 	gb13: -1.71 	gb14: 0.70 	gb15: 1.85 	gb16: 1.30 	gb17: -3.53 	gb18: -3.47 	gb19: -1.65
			Robot 1 	f: 576.46 	mf: 288.00 	ga0: 1.02 	ga1: 2.40 	ga2: 0.62 	ga3: 0.00 	ga4: 0.10 	ga5: 0.11 	ga6: 0.36 	ga7: 0.08 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.33 	gb0: 0.43 	gb1: 0.76 	gb2: 0.52 	gb3: 0.75 	gb4: 0.12 	gb5: 0.28 	gb6: 0.79 	gb7: 0.86 	gb8: 0.24 	gb9: 0.61 	gb10: 1.42 	gb11: 4.18 	gb12: 2.77 	gb13: 0.75 	gb14: -0.96 	gb15: 4.16 	gb16: -1.67 	gb17: -1.81 	gb18: 2.74 	gb19: -3.66
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.20 	ga1: 2.40 	ga2: 0.77 	ga3: 0.22 	ga4: 0.10 	ga5: 0.05 	ga6: 0.36 	ga7: 0.69 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.65 	gb0: 0.50 	gb1: 0.31 	gb2: 0.85 	gb3: 0.82 	gb4: 0.67 	gb5: 0.49 	gb6: 0.37 	gb7: 0.71 	gb8: 0.89 	gb9: 0.51 	gb10: -0.73 	gb11: 1.14 	gb12: 4.03 	gb13: 0.06 	gb14: 1.86 	gb15: -1.84 	gb16: -4.09 	gb17: -1.45 	gb18: 2.56 	gb19: -0.87
			Robot 3 	f: 230.80 	mf: 115.00 	ga0: 1.02 	ga1: 2.40 	ga2: 0.21 	ga3: 0.00 	ga4: 0.10 	ga5: 0.11 	ga6: 0.36 	ga7: 0.00 	ga8: 0.72 	ga9: 0.30 	ga10: 0.00 	ga11: 0.33 	gb0: 0.78 	gb1: 0.66 	gb2: 0.81 	gb3: 0.56 	gb4: 0.86 	gb5: 0.35 	gb6: 0.65 	gb7: 0.31 	gb8: 0.55 	gb9: 0.73 	gb10: -1.52 	gb11: 3.90 	gb12: -2.28 	gb13: -2.32 	gb14: -1.74 	gb15: -3.17 	gb16: 1.00 	gb17: 3.76 	gb18: -0.66 	gb19: 1.64
			Robot 4 	f: 336.71 	mf: 168.00 	ga0: 1.00 	ga1: 1.12 	ga2: 0.47 	ga3: 0.00 	ga4: 0.05 	ga5: 0.13 	ga6: 0.54 	ga7: 0.00 	ga8: 0.00 	ga9: 0.31 	ga10: 0.06 	ga11: 0.33 	gb0: 0.57 	gb1: 0.85 	gb2: 0.91 	gb3: 0.68 	gb4: 0.85 	gb5: 0.69 	gb6: 0.17 	gb7: 0.58 	gb8: 0.56 	gb9: 0.22 	gb10: 2.39 	gb11: 1.34 	gb12: -2.25 	gb13: 1.51 	gb14: -3.79 	gb15: -1.42 	gb16: 1.41 	gb17: 0.66 	gb18: -0.28 	gb19: -4.21
			Robot 5 	f: 713.04 	mf: 356.50 	ga0: 1.02 	ga1: 2.40 	ga2: 0.31 	ga3: 0.00 	ga4: 0.10 	ga5: 0.11 	ga6: 0.36 	ga7: 0.00 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.33 	gb0: 0.88 	gb1: 0.56 	gb2: 0.55 	gb3: 0.43 	gb4: 0.37 	gb5: 0.34 	gb6: 0.59 	gb7: 0.44 	gb8: 0.69 	gb9: 0.33 	gb10: 3.13 	gb11: 1.00 	gb12: 1.58 	gb13: -1.80 	gb14: -0.98 	gb15: 3.17 	gb16: -1.34 	gb17: -1.06 	gb18: -1.16 	gb19: -0.49
			Robot 6 	f: 596.51 	mf: 298.00 	ga0: 1.02 	ga1: 0.80 	ga2: 0.62 	ga3: 0.00 	ga4: 0.00 	ga5: 0.78 	ga6: 0.72 	ga7: 0.00 	ga8: 0.09 	ga9: 0.45 	ga10: 0.06 	ga11: 0.79 	gb0: 0.74 	gb1: 0.56 	gb2: 0.94 	gb3: 0.73 	gb4: 0.32 	gb5: 0.26 	gb6: 0.19 	gb7: 0.50 	gb8: 0.17 	gb9: 0.60 	gb10: 0.91 	gb11: -0.31 	gb12: 0.58 	gb13: 0.27 	gb14: 1.42 	gb15: 3.76 	gb16: -2.72 	gb17: 2.16 	gb18: -1.27 	gb19: 3.32
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 2.40 	ga2: 0.31 	ga3: 0.78 	ga4: 0.10 	ga5: 0.11 	ga6: 0.39 	ga7: 0.00 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.33 	gb0: 0.59 	gb1: 0.31 	gb2: 0.75 	gb3: 0.63 	gb4: 0.31 	gb5: 0.40 	gb6: 0.77 	gb7: 0.24 	gb8: 0.20 	gb9: 0.11 	gb10: 0.33 	gb11: 0.71 	gb12: 2.33 	gb13: -3.92 	gb14: 2.19 	gb15: -2.09 	gb16: -1.26 	gb17: -2.02 	gb18: -1.05 	gb19: -0.69
			Robot 8 	f: 673.92 	mf: 336.50 	ga0: 1.02 	ga1: 2.40 	ga2: 0.32 	ga3: 0.00 	ga4: 0.10 	ga5: 0.11 	ga6: 0.18 	ga7: 0.06 	ga8: 0.24 	ga9: 0.30 	ga10: 0.00 	ga11: 0.72 	gb0: 0.74 	gb1: 0.36 	gb2: 0.84 	gb3: 0.70 	gb4: 0.44 	gb5: 0.12 	gb6: 0.77 	gb7: 0.10 	gb8: 0.19 	gb9: 0.39 	gb10: -3.13 	gb11: 2.06 	gb12: 3.82 	gb13: -0.71 	gb14: -3.50 	gb15: 0.53 	gb16: -0.92 	gb17: 1.16 	gb18: -2.66 	gb19: 3.65
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 3.52 	ga2: 0.47 	ga3: 0.03 	ga4: 0.41 	ga5: 0.13 	ga6: 0.54 	ga7: 0.00 	ga8: 0.54 	ga9: 0.31 	ga10: 0.00 	ga11: 0.35 	gb0: 0.36 	gb1: 0.63 	gb2: 0.46 	gb3: 0.18 	gb4: 0.84 	gb5: 0.24 	gb6: 0.52 	gb7: 0.13 	gb8: 0.21 	gb9: 0.83 	gb10: 4.01 	gb11: -2.25 	gb12: -2.94 	gb13: -2.27 	gb14: -2.26 	gb15: 3.76 	gb16: -3.42 	gb17: -2.48 	gb18: 3.25 	gb19: -3.18
