QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 30
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 200
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.19 	ga1: 0.83 	ga2: 0.00 	ga3: 0.21 	ga4: 0.00 	ga5: 0.67 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.48 	gb1: 0.09 	gb2: 0.52 	gb3: 0.83 	gb4: 0.18 	gb5: 0.86 	gb6: 0.64 	gb7: 0.40 	gb8: 0.41 	gb9: 0.24 	gb10: 2.69 	gb11: 3.33 	gb12: 2.12 	gb13: -2.65 	gb14: -1.29 	gb15: 1.57 	gb16: -1.75 	gb17: 1.28 	gb18: -3.52 	gb19: -4.04
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.83 	ga1: 2.12 	ga2: 0.00 	ga3: 0.41 	ga4: 0.00 	ga5: 0.25 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.82 	gb1: 0.62 	gb2: 0.25 	gb3: 0.46 	gb4: 0.67 	gb5: 0.28 	gb6: 0.70 	gb7: 0.45 	gb8: 0.83 	gb9: 0.49 	gb10: 0.86 	gb11: -0.91 	gb12: -2.19 	gb13: -1.61 	gb14: -3.90 	gb15: 3.88 	gb16: -0.66 	gb17: -1.05 	gb18: 2.45 	gb19: 3.34
			Robot 2 	f: 289.12 	mf: 144.50 	ga0: 1.21 	ga1: 4.86 	ga2: 0.44 	ga3: 0.53 	ga4: 0.00 	ga5: 0.57 	ga6: 0.00 	ga7: 0.66 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.85 	gb1: 0.70 	gb2: 0.65 	gb3: 0.19 	gb4: 0.67 	gb5: 0.67 	gb6: 0.57 	gb7: 0.33 	gb8: 0.42 	gb9: 0.61 	gb10: -3.17 	gb11: 2.29 	gb12: 2.73 	gb13: 0.78 	gb14: -2.09 	gb15: 3.93 	gb16: 3.67 	gb17: -0.69 	gb18: -3.11 	gb19: -4.09
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.21 	ga1: 3.14 	ga2: 0.00 	ga3: 0.21 	ga4: 0.00 	ga5: 0.25 	ga6: 0.00 	ga7: 0.13 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.67 	gb1: 0.35 	gb2: 0.71 	gb3: 0.42 	gb4: 0.58 	gb5: 0.77 	gb6: 0.24 	gb7: 0.07 	gb8: 0.86 	gb9: 0.61 	gb10: 0.80 	gb11: 0.57 	gb12: 1.92 	gb13: -3.34 	gb14: 0.88 	gb15: 0.94 	gb16: 0.51 	gb17: -3.96 	gb18: 0.87 	gb19: -3.25
			Robot 4 	f: 312.37 	mf: 156.00 	ga0: 0.53 	ga1: 3.57 	ga2: 0.00 	ga3: 0.21 	ga4: 0.00 	ga5: 0.25 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.44 	gb0: 0.71 	gb1: 0.41 	gb2: 0.31 	gb3: 0.78 	gb4: 0.30 	gb5: 0.86 	gb6: 0.47 	gb7: 0.22 	gb8: 0.59 	gb9: 0.63 	gb10: 0.32 	gb11: 0.27 	gb12: 2.79 	gb13: -0.85 	gb14: -2.74 	gb15: 0.85 	gb16: 2.52 	gb17: 2.55 	gb18: 1.59 	gb19: 0.56
			Robot 5 	f: 400.66 	mf: 200.00 	ga0: 0.75 	ga1: 3.01 	ga2: 0.00 	ga3: 0.50 	ga4: 0.00 	ga5: 0.25 	ga6: 0.12 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.19 	ga11: 0.00 	gb0: 0.78 	gb1: 0.13 	gb2: 0.13 	gb3: 0.77 	gb4: 0.23 	gb5: 0.34 	gb6: 0.51 	gb7: 0.26 	gb8: 0.54 	gb9: 0.41 	gb10: 3.68 	gb11: 2.12 	gb12: 2.60 	gb13: 2.30 	gb14: -3.47 	gb15: -0.66 	gb16: 2.05 	gb17: -2.16 	gb18: -2.27 	gb19: 0.44
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 4.22 	ga2: 0.00 	ga3: 0.70 	ga4: 0.00 	ga5: 0.25 	ga6: 0.00 	ga7: 0.00 	ga8: 0.06 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.42 	gb1: 0.65 	gb2: 0.37 	gb3: 0.60 	gb4: 0.63 	gb5: 0.50 	gb6: 0.20 	gb7: 0.14 	gb8: 0.61 	gb9: 0.81 	gb10: 2.96 	gb11: -2.52 	gb12: -0.04 	gb13: 1.34 	gb14: -3.57 	gb15: -3.40 	gb16: 2.89 	gb17: 3.57 	gb18: -3.24 	gb19: 0.83
			Robot 7 	f: 1092.54 	mf: 546.00 	ga0: 1.15 	ga1: 3.28 	ga2: 0.00 	ga3: 0.54 	ga4: 0.00 	ga5: 0.63 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.60 	gb1: 0.50 	gb2: 0.33 	gb3: 0.42 	gb4: 0.26 	gb5: 0.72 	gb6: 0.55 	gb7: 0.17 	gb8: 0.47 	gb9: 0.75 	gb10: 1.16 	gb11: -3.12 	gb12: 3.82 	gb13: -0.93 	gb14: 2.83 	gb15: -2.39 	gb16: -0.75 	gb17: -4.19 	gb18: 0.23 	gb19: -0.03
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.59 	ga1: 3.74 	ga2: 0.00 	ga3: 0.21 	ga4: 0.00 	ga5: 0.25 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.29 	gb1: 0.81 	gb2: 0.77 	gb3: 0.69 	gb4: 0.53 	gb5: 0.42 	gb6: 0.45 	gb7: 0.48 	gb8: 0.74 	gb9: 0.56 	gb10: 1.61 	gb11: -1.04 	gb12: 0.19 	gb13: 2.52 	gb14: 1.46 	gb15: 2.31 	gb16: -1.07 	gb17: -2.23 	gb18: 1.11 	gb19: -1.40
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.56 	ga1: 1.03 	ga2: 0.00 	ga3: 0.21 	ga4: 0.00 	ga5: 0.25 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.47 	gb1: 0.68 	gb2: 0.19 	gb3: 0.75 	gb4: 0.69 	gb5: 0.58 	gb6: 0.24 	gb7: 0.37 	gb8: 0.53 	gb9: 0.82 	gb10: 1.87 	gb11: 1.83 	gb12: 0.87 	gb13: -0.03 	gb14: -3.36 	gb15: -3.19 	gb16: 0.83 	gb17: 1.79 	gb18: 3.03 	gb19: -3.12
		Population 2
