QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 70
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 60
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 3 	f: 305.42 	mf: 199.60
			Robot 4 	f: 351.62 	mf: -28.00
			Robot 5 	f: 305.48 	mf: 287.80
			Robot 6 	f: 291.85 	mf: 270.80
			Robot 7 	f: 308.50 	mf: 31.40
			Robot 8 	f: 320.00 	mf: 299.00
			Robot 9 	f: 325.24 	mf: 288.80
		Population 13
			Robot 0 	f: 316.10 	mf: 235.80
			Robot 1 	f: 318.73 	mf: 180.00
			Robot 2 	f: 304.27 	mf: 340.40
			Robot 3 	f: 300.63 	mf: 212.20
			Robot 4 	f: 322.74 	mf: -26.60
			Robot 5 	f: 193.74 	mf: 264.60
			Robot 6 	f: 209.73 	mf: 253.80
			Robot 7 	f: 311.29 	mf: 29.00
			Robot 8 	f: 185.32 	mf: 275.60
			Robot 9 	f: 299.37 	mf: 296.40
		Population 14
			Robot 0 	f: 341.32 	mf: 255.40
			Robot 1 	f: 313.01 	mf: 177.80
			Robot 2 	f: 124.40 	mf: 302.60
			Robot 3 	f: 334.57 	mf: 228.00
			Robot 4 	f: 320.28 	mf: -15.20
			Robot 5 	f: 334.48 	mf: 276.00
			Robot 6 	f: 23.33 	mf: 198.40
			Robot 7 	f: 25.75 	mf: -30.00
			Robot 8 	f: 326.57 	mf: 281.00
			Robot 9 	f: -460.42 	mf: 147.80
		Population 15
			Robot 0 	f: -136.69 	mf: 169.00
			Robot 1 	f: 348.46 	mf: 211.80
			Robot 2 	f: 17.00 	mf: 223.40
			Robot 3 	f: 360.65 	mf: 319.80
			Robot 4 	f: 166.08 	mf: 190.80
			Robot 5 	f: 320.41 	mf: 277.00
			Robot 6 	f: 282.50 	mf: 219.80
			Robot 7 	f: 50.27 	mf: 203.40
			Robot 8 	f: 189.39 	mf: 260.00
			Robot 9 	f: 171.82 	mf: 129.60
		Population 16
			Robot 0 	f: 359.29 	mf: 235.80
			Robot 1 	f: 210.28 	mf: 303.20
			Robot 2 	f: 266.20 	mf: 210.00
			Robot 3 	f: 25.32 	mf: 264.80
			Robot 4 	f: 253.48 	mf: 282.40
			Robot 5 	f: 319.11 	mf: 294.20
