QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.90 	ga1: 3.21 	ga2: 0.00 	ga3: 0.24 	ga4: 0.61 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.18 	ga11: 0.24 	gb0: 0.31 	gb1: 0.69 	gb2: 0.26 	gb3: 0.21 	gb4: 0.81 	gb5: 0.32 	gb6: 0.81 	gb7: 0.49 	gb8: 0.21 	gb9: 0.11 	gb10: 3.95 	gb11: 2.44 	gb12: -3.22 	gb13: -3.35 	gb14: 1.52 	gb15: 1.04 	gb16: 2.75 	gb17: 1.17 	gb18: -1.89 	gb19: -1.23
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 1.62 	ga2: 0.00 	ga3: 0.24 	ga4: 0.11 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.24 	gb0: 0.83 	gb1: 0.85 	gb2: 0.41 	gb3: 0.66 	gb4: 0.75 	gb5: 0.49 	gb6: 0.34 	gb7: 0.24 	gb8: 0.19 	gb9: 0.70 	gb10: -1.75 	gb11: -1.11 	gb12: 0.28 	gb13: -1.10 	gb14: -0.30 	gb15: 1.71 	gb16: 2.60 	gb17: -3.50 	gb18: 1.86 	gb19: -3.13
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.29 	ga1: 1.95 	ga2: 0.20 	ga3: 0.24 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.30 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.24 	gb0: 0.67 	gb1: 0.47 	gb2: 0.48 	gb3: 0.46 	gb4: 0.80 	gb5: 0.34 	gb6: 0.57 	gb7: 0.13 	gb8: 0.56 	gb9: 0.19 	gb10: 0.29 	gb11: -2.80 	gb12: -2.66 	gb13: 3.33 	gb14: -1.55 	gb15: 3.81 	gb16: 4.10 	gb17: -2.45 	gb18: 0.17 	gb19: 3.27
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.78 	ga1: 1.26 	ga2: 0.00 	ga3: 0.38 	ga4: 0.00 	ga5: 0.08 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.75 	ga10: 0.00 	ga11: 0.24 	gb0: 0.90 	gb1: 0.24 	gb2: 0.14 	gb3: 0.28 	gb4: 0.30 	gb5: 0.57 	gb6: 0.75 	gb7: 0.84 	gb8: 0.72 	gb9: 0.75 	gb10: 0.41 	gb11: 1.19 	gb12: -0.97 	gb13: 2.97 	gb14: 3.93 	gb15: 1.10 	gb16: -1.20 	gb17: 3.68 	gb18: 3.26 	gb19: -0.52
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.25 	ga1: 3.50 	ga2: 0.00 	ga3: 0.24 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.24 	gb0: 0.54 	gb1: 0.26 	gb2: 0.11 	gb3: 0.32 	gb4: 0.72 	gb5: 0.37 	gb6: 0.22 	gb7: 0.52 	gb8: 0.68 	gb9: 0.40 	gb10: -2.52 	gb11: -3.33 	gb12: -0.70 	gb13: -0.35 	gb14: -2.66 	gb15: -2.82 	gb16: 2.96 	gb17: 3.24 	gb18: 3.59 	gb19: 3.56
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.45 	ga1: 0.50 	ga2: 0.00 	ga3: 0.24 	ga4: 0.00 	ga5: 0.23 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.32 	ga11: 0.38 	gb0: 0.35 	gb1: 0.39 	gb2: 0.18 	gb3: 0.28 	gb4: 0.55 	gb5: 0.50 	gb6: 0.42 	gb7: 0.84 	gb8: 0.20 	gb9: 0.34 	gb10: -2.78 	gb11: 1.68 	gb12: 2.14 	gb13: -0.80 	gb14: 3.54 	gb15: 1.53 	gb16: -0.57 	gb17: -2.61 	gb18: 4.20 	gb19: 1.64
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.36 	ga1: 2.63 	ga2: 0.00 	ga3: 0.24 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.24 	gb0: 0.42 	gb1: 0.67 	gb2: 0.57 	gb3: 0.84 	gb4: 0.68 	gb5: 0.19 	gb6: 0.34 	gb7: 0.33 	gb8: 0.84 	gb9: 0.76 	gb10: 4.37 	gb11: 1.95 	gb12: 3.48 	gb13: -2.19 	gb14: 2.01 	gb15: 1.97 	gb16: -0.52 	gb17: 1.57 	gb18: -1.20 	gb19: -4.25
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.42 	ga1: 3.10 	ga2: 0.00 	ga3: 0.24 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.24 	gb0: 0.61 	gb1: 0.65 	gb2: 0.57 	gb3: 0.68 	gb4: 0.69 	gb5: 0.56 	gb6: 0.14 	gb7: 0.70 	gb8: 0.38 	gb9: 0.48 	gb10: -2.82 	gb11: 4.38 	gb12: -3.75 	gb13: 3.49 	gb14: -3.70 	gb15: 2.03 	gb16: 3.87 	gb17: 2.02 	gb18: 2.42 	gb19: -1.25
			Robot 8 	f: 1063.17 	mf: 531.50 	ga0: 0.49 	ga1: 0.22 	ga2: 0.00 	ga3: 0.59 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.61 	gb0: 0.87 	gb1: 0.71 	gb2: 0.60 	gb3: 0.17 	gb4: 0.23 	gb5: 0.79 	gb6: 0.31 	gb7: 0.72 	gb8: 0.80 	gb9: 0.41 	gb10: 1.34 	gb11: 1.26 	gb12: -1.23 	gb13: -1.96 	gb14: 3.13 	gb15: 1.22 	gb16: 3.28 	gb17: 0.90 	gb18: 1.68 	gb19: -1.43
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.20 	ga1: 0.15 	ga2: 0.00 	ga3: 0.24 	ga4: 0.29 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.62 	ga10: 0.00 	ga11: 0.24 	gb0: 0.56 	gb1: 0.39 	gb2: 0.63 	gb3: 0.21 	gb4: 0.48 	gb5: 0.52 	gb6: 0.23 	gb7: 0.83 	gb8: 0.85 	gb9: 0.83 	gb10: -0.78 	gb11: 0.03 	gb12: -3.60 	gb13: -0.08 	gb14: -0.64 	gb15: -2.64 	gb16: -2.19 	gb17: 2.36 	gb18: -0.16 	gb19: 0.43
