QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 40
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.28 	ga1: 5.25 	ga2: 0.00 	ga3: 0.00 	ga4: 0.54 	ga5: 0.28 	ga6: 0.00 	ga7: 0.02 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.06 	gb0: 0.26 	gb1: 0.66 	gb2: 0.20 	gb3: 0.22 	gb4: 0.86 	gb5: 0.85 	gb6: 0.58 	gb7: 0.47 	gb8: 0.30 	gb9: 0.32 	gb10: -0.59 	gb11: 0.52 	gb12: 0.97 	gb13: 2.55 	gb14: -3.32 	gb15: -2.23 	gb16: 1.25 	gb17: 3.00 	gb18: 1.77 	gb19: -1.81
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 4.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.28 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.15 	gb1: 0.67 	gb2: 0.15 	gb3: 0.56 	gb4: 0.27 	gb5: 0.64 	gb6: 0.18 	gb7: 0.49 	gb8: 0.85 	gb9: 0.49 	gb10: 3.37 	gb11: 4.09 	gb12: 2.93 	gb13: -2.33 	gb14: 1.08 	gb15: -0.10 	gb16: -2.32 	gb17: -1.62 	gb18: -3.19 	gb19: 2.10
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.91 	ga1: 4.79 	ga2: 0.00 	ga3: 0.09 	ga4: 0.00 	ga5: 0.28 	ga6: 0.00 	ga7: 0.06 	ga8: 0.19 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.65 	gb1: 0.53 	gb2: 0.24 	gb3: 0.30 	gb4: 0.19 	gb5: 0.56 	gb6: 0.31 	gb7: 0.08 	gb8: 0.24 	gb9: 0.67 	gb10: 3.58 	gb11: -1.95 	gb12: 2.43 	gb13: -3.90 	gb14: 3.34 	gb15: 2.70 	gb16: -1.79 	gb17: -4.18 	gb18: -0.25 	gb19: 3.10
			Robot 3 	f: 581.47 	mf: 290.50 	ga0: 0.93 	ga1: 5.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.68 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.18 	gb0: 0.61 	gb1: 0.62 	gb2: 0.75 	gb3: 0.80 	gb4: 0.26 	gb5: 0.45 	gb6: 0.16 	gb7: 0.56 	gb8: 0.48 	gb9: 0.81 	gb10: -1.99 	gb11: 3.47 	gb12: -0.26 	gb13: -1.27 	gb14: 3.40 	gb15: 2.99 	gb16: 0.85 	gb17: -1.71 	gb18: -1.24 	gb19: -2.24
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.97 	ga1: 2.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.28 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.23 	ga11: 0.00 	gb0: 0.34 	gb1: 0.12 	gb2: 0.71 	gb3: 0.74 	gb4: 0.63 	gb5: 0.37 	gb6: 0.79 	gb7: 0.59 	gb8: 0.55 	gb9: 0.61 	gb10: 3.16 	gb11: 1.07 	gb12: 1.37 	gb13: -3.27 	gb14: 1.32 	gb15: 3.58 	gb16: 1.76 	gb17: 3.43 	gb18: 2.54 	gb19: 1.12
			Robot 5 	f: 389.00 	mf: 194.00 	ga0: 1.21 	ga1: 3.39 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.28 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.36 	ga11: 0.00 	gb0: 0.90 	gb1: 0.57 	gb2: 0.24 	gb3: 0.83 	gb4: 0.84 	gb5: 0.74 	gb6: 0.50 	gb7: 0.10 	gb8: 0.64 	gb9: 0.64 	gb10: 3.35 	gb11: 1.08 	gb12: -2.50 	gb13: -3.19 	gb14: -1.66 	gb15: 0.23 	gb16: 3.65 	gb17: -2.04 	gb18: -0.09 	gb19: -2.87
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.12 	ga1: 2.48 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.28 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.25 	gb0: 0.48 	gb1: 0.80 	gb2: 0.20 	gb3: 0.51 	gb4: 0.20 	gb5: 0.53 	gb6: 0.54 	gb7: 0.86 	gb8: 0.26 	gb9: 0.17 	gb10: 4.05 	gb11: -0.03 	gb12: -3.24 	gb13: -2.00 	gb14: 3.68 	gb15: -0.95 	gb16: 2.89 	gb17: 2.58 	gb18: 1.00 	gb19: 2.29
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.09 	ga1: 5.18 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.28 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.56 	gb1: 0.77 	gb2: 0.71 	gb3: 0.79 	gb4: 0.75 	gb5: 0.75 	gb6: 0.33 	gb7: 0.56 	gb8: 0.72 	gb9: 0.49 	gb10: 0.80 	gb11: -2.68 	gb12: -3.32 	gb13: -0.37 	gb14: 0.76 	gb15: -4.30 	gb16: 1.56 	gb17: 0.14 	gb18: 1.95 	gb19: -1.54
			Robot 8 	f: 1211.24 	mf: 605.50 	ga0: 1.19 	ga1: 3.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.69 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.45 	gb1: 0.31 	gb2: 0.89 	gb3: 0.62 	gb4: 0.30 	gb5: 0.71 	gb6: 0.58 	gb7: 0.29 	gb8: 0.20 	gb9: 0.77 	gb10: 4.24 	gb11: 2.07 	gb12: -1.18 	gb13: -2.42 	gb14: 2.21 	gb15: 0.68 	gb16: -1.08 	gb17: 1.29 	gb18: 1.85 	gb19: -2.71
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 2.81 	ga2: 0.74 	ga3: 0.00 	ga4: 0.00 	ga5: 0.28 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.36 	gb1: 0.56 	gb2: 0.83 	gb3: 0.65 	gb4: 0.35 	gb5: 0.61 	gb6: 0.42 	gb7: 0.79 	gb8: 0.64 	gb9: 0.56 	gb10: -0.86 	gb11: -3.10 	gb12: -1.36 	gb13: -1.64 	gb14: -3.24 	gb15: 1.94 	gb16: -0.31 	gb17: -0.38 	gb18: -1.77 	gb19: -1.44
