QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.6	 nm: 0.3	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 5892.94 	mf: 2946.00 	ga0: 0.61 	ga1: 3.11 	ga2: 0.00 	ga3: 0.53 	ga4: 0.08 	ga5: 0.00 	ga6: 0.00 	ga7: 0.51 	ga8: 0.66 	ga9: 0.00 	ga10: 0.00 	ga11: 0.61 	gb0: 0.36 	gb1: 0.27 	gb2: 0.57 	gb3: 0.53 	gb4: 0.33 	gb5: 0.54 	gb6: 0.62 	gb7: 0.77 	gb8: 0.27 	gb9: 0.29 	gb10: -3.29 	gb11: 3.07 	gb12: -0.81 	gb13: -2.00 	gb14: 1.48 	gb15: 2.38 	gb16: -0.27 	gb17: -2.02 	gb18: -2.61 	gb19: 1.10
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.88 	ga1: 2.41 	ga2: 0.49 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.06 	ga9: 0.00 	ga10: 0.00 	ga11: 0.50 	gb0: 0.63 	gb1: 0.57 	gb2: 0.45 	gb3: 0.47 	gb4: 0.43 	gb5: 0.46 	gb6: 0.44 	gb7: 0.82 	gb8: 0.83 	gb9: 0.21 	gb10: 0.24 	gb11: -3.56 	gb12: -0.25 	gb13: 1.98 	gb14: -1.62 	gb15: 2.74 	gb16: -1.20 	gb17: -3.04 	gb18: 0.03 	gb19: -1.98
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.88 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.56 	ga5: 0.23 	ga6: 0.06 	ga7: 0.66 	ga8: 0.00 	ga9: 0.34 	ga10: 0.00 	ga11: 0.00 	gb0: 0.25 	gb1: 0.25 	gb2: 0.46 	gb3: 0.40 	gb4: 0.36 	gb5: 0.23 	gb6: 0.81 	gb7: 0.56 	gb8: 0.61 	gb9: 0.41 	gb10: -2.36 	gb11: -1.29 	gb12: 1.05 	gb13: 3.95 	gb14: -2.68 	gb15: 2.47 	gb16: -0.24 	gb17: 2.42 	gb18: 0.72 	gb19: -1.66
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.88 	ga1: 1.71 	ga2: 0.00 	ga3: 0.00 	ga4: 0.45 	ga5: 0.00 	ga6: 0.63 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.40 	gb1: 0.20 	gb2: 0.23 	gb3: 0.14 	gb4: 0.58 	gb5: 0.14 	gb6: 0.93 	gb7: 0.65 	gb8: 0.48 	gb9: 0.80 	gb10: -1.98 	gb11: 0.18 	gb12: 2.46 	gb13: 0.94 	gb14: -1.58 	gb15: -0.31 	gb16: 2.02 	gb17: 0.14 	gb18: 1.20 	gb19: -1.77
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.26 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.39 	ga7: 0.36 	ga8: 0.49 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.65 	gb1: 0.20 	gb2: 0.53 	gb3: 0.26 	gb4: 0.19 	gb5: 0.09 	gb6: 0.48 	gb7: 0.75 	gb8: 0.77 	gb9: 0.25 	gb10: -3.27 	gb11: -1.80 	gb12: 0.33 	gb13: -1.59 	gb14: -2.78 	gb15: 1.47 	gb16: -1.69 	gb17: 3.09 	gb18: 3.45 	gb19: -1.05
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.88 	ga1: 5.70 	ga2: 0.50 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.11 	ga10: 0.45 	ga11: 0.00 	gb0: 0.16 	gb1: 0.27 	gb2: 0.27 	gb3: 0.47 	gb4: 0.11 	gb5: 0.35 	gb6: 0.72 	gb7: 0.37 	gb8: 0.67 	gb9: 0.28 	gb10: -0.25 	gb11: 2.17 	gb12: -3.34 	gb13: 3.33 	gb14: -1.40 	gb15: 3.95 	gb16: -3.02 	gb17: 2.60 	gb18: 1.19 	gb19: -0.30
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.88 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.39 	gb1: 0.20 	gb2: 0.42 	gb3: 0.44 	gb4: 0.17 	gb5: 0.12 	gb6: 0.46 	gb7: 0.33 	gb8: 0.84 	gb9: 0.63 	gb10: -2.17 	gb11: -0.71 	gb12: -1.62 	gb13: 1.36 	gb14: 2.51 	gb15: 0.66 	gb16: -0.56 	gb17: -0.10 	gb18: -3.21 	gb19: 0.91
			Robot 7 	f: 5892.94 	mf: 2946.00 	ga0: 0.88 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.17 	gb1: 0.38 	gb2: 0.38 	gb3: 0.34 	gb4: 0.35 	gb5: 0.15 	gb6: 0.83 	gb7: 0.54 	gb8: 0.75 	gb9: 0.35 	gb10: -3.02 	gb11: -3.09 	gb12: -2.82 	gb13: 2.68 	gb14: 0.92 	gb15: 3.02 	gb16: -0.18 	gb17: 0.58 	gb18: 0.67 	gb19: -2.09
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.96 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.26 	ga8: 0.40 	ga9: 0.44 	ga10: 0.00 	ga11: 0.00 	gb0: 0.23 	gb1: 0.40 	gb2: 0.73 	gb3: 0.20 	gb4: 0.22 	gb5: 0.10 	gb6: 0.93 	gb7: 0.21 	gb8: 0.51 	gb9: 0.22 	gb10: -1.81 	gb11: 0.62 	gb12: -1.34 	gb13: -0.01 	gb14: -0.14 	gb15: -1.23 	gb16: -1.28 	gb17: -2.17 	gb18: -0.92 	gb19: 2.75
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.96 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.30 	gb1: 0.41 	gb2: 0.39 	gb3: 0.78 	gb4: 0.38 	gb5: 0.73 	gb6: 0.51 	gb7: 0.23 	gb8: 0.71 	gb9: 0.52 	gb10: -1.33 	gb11: -2.29 	gb12: -0.49 	gb13: 4.20 	gb14: 1.20 	gb15: 2.43 	gb16: 1.19 	gb17: 3.44 	gb18: 2.08 	gb19: -1.91
