QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 120
EnvMutationRate: 0.2

Environment 0
	Repetition 0
		Population 0
			Robot 4 	f:229.57 	mf: 160.18 	g0: 0.34 	g1: 2.16 	g2: 0.82 	g3: 7.77 	g4: 38.86
			Robot 5 	f:-33.25 	mf: 119.10 	g0: 1.90 	g1: 0.60 	g2: 0.83 	g3: 3.65 	g4: 69.68
			Robot 6 	f:65.88 	mf: 104.08 	g0: 0.73 	g1: 1.87 	g2: 0.54 	g3: 9.69 	g4: 33.04
			Robot 7 	f:123.85 	mf: 168.89 	g0: 0.73 	g1: 1.69 	g2: 0.58 	g3: 9.54 	g4: 78.70
			Robot 8 	f:-203.41 	mf: -62.22 	g0: 0.87 	g1: 1.59 	g2: 0.32 	g3: 4.04 	g4: 30.84
			Robot 9 	f:208.71 	mf: 229.41 	g0: 0.73 	g1: 1.60 	g2: 0.83 	g3: 9.54 	g4: 30.57
		Population 5
			Robot 0 	f:199.28 	mf: 49.73 	g0: 2.24 	g1: 1.47 	g2: 0.73 	g3: 6.18 	g4: 85.56
			Robot 1 	f:225.45 	mf: 150.64 	g0: 1.53 	g1: 1.52 	g2: 0.83 	g3: 5.57 	g4: 31.22
			Robot 2 	f:107.86 	mf: 149.38 	g0: 1.79 	g1: 1.65 	g2: 0.80 	g3: 5.45 	g4: 67.54
			Robot 3 	f:281.26 	mf: 200.56 	g0: 0.79 	g1: 1.17 	g2: 0.98 	g3: 9.13 	g4: 31.94
			Robot 4 	f:-122.12 	mf: 100.49 	g0: 0.70 	g1: 1.64 	g2: 0.83 	g3: 9.41 	g4: 62.74
			Robot 5 	f:142.67 	mf: 100.71 	g0: 0.81 	g1: 1.53 	g2: 0.83 	g3: 9.13 	g4: 44.13
			Robot 6 	f:143.15 	mf: 74.01 	g0: 1.49 	g1: 1.54 	g2: 0.81 	g3: 9.55 	g4: 30.74
			Robot 7 	f:169.41 	mf: 168.79 	g0: 2.24 	g1: 1.61 	g2: 0.20 	g3: 9.54 	g4: 33.93
			Robot 8 	f:84.49 	mf: -92.13 	g0: 0.74 	g1: 1.60 	g2: 0.80 	g3: 2.40 	g4: 57.29
			Robot 9 	f:228.71 	mf: 227.04 	g0: 0.73 	g1: 1.60 	g2: 0.83 	g3: 9.54 	g4: 30.57
		Population 6
			Robot 0 	f:188.85 	mf: 138.02 	g0: 2.24 	g1: 1.47 	g2: 0.73 	g3: 6.18 	g4: 85.56
			Robot 1 	f:169.35 	mf: 160.67 	g0: 1.53 	g1: 1.52 	g2: 0.83 	g3: 5.57 	g4: 31.22
			Robot 2 	f:187.51 	mf: 160.83 	g0: 1.79 	g1: 1.65 	g2: 0.80 	g3: 5.45 	g4: 67.54
			Robot 3 	f:72.57 	mf: 212.84 	g0: 0.79 	g1: 1.17 	g2: 0.98 	g3: 9.13 	g4: 31.94
			Robot 4 	f:179.78 	mf: 95.74 	g0: 0.70 	g1: 1.64 	g2: 0.83 	g3: 9.41 	g4: 62.74
			Robot 5 	f:237.87 	mf: 115.76 	g0: 0.81 	g1: 1.53 	g2: 0.83 	g3: 9.13 	g4: 44.13
			Robot 6 	f:215.13 	mf: 141.39 	g0: 1.49 	g1: 1.54 	g2: 0.81 	g3: 9.55 	g4: 30.74
			Robot 7 	f:54.03 	mf: 115.76 	g0: 0.61 	g1: 1.20 	g2: 0.19 	g3: 9.16 	g4: 49.12
			Robot 8 	f:35.00 	mf: -27.98 	g0: 1.94 	g1: 1.20 	g2: 0.91 	g3: 3.81 	g4: 31.16
			Robot 9 	f:115.41 	mf: 184.28 	g0: 0.73 	g1: 1.60 	g2: 0.83 	g3: 9.54 	g4: 30.57
		Population 7
			Robot 0 	f:8.02 	mf: 132.05 	g0: 0.34 	g1: 1.78 	g2: 0.63 	g3: 4.02 	g4: 58.44
			Robot 1 	f:229.25 	mf: 208.02 	g0: 1.53 	g1: 1.52 	g2: 0.83 	g3: 5.57 	g4: 31.22
			Robot 2 	f:215.89 	mf: 170.42 	g0: 0.27 	g1: 1.20 	g2: 0.83 	g3: 4.70 	g4: 69.43
			Robot 3 	f:169.52 	mf: 174.45 	g0: 1.66 	g1: 1.50 	g2: 0.84 	g3: 4.29 	g4: 45.56
			Robot 4 	f:233.52 	mf: 97.06 	g0: 0.70 	g1: 1.64 	g2: 0.83 	g3: 9.41 	g4: 62.74
			Robot 5 	f:240.35 	mf: 206.96 	g0: 0.81 	g1: 1.53 	g2: 0.83 	g3: 9.13 	g4: 44.13
			Robot 6 	f:232.02 	mf: 196.77 	g0: 1.49 	g1: 1.54 	g2: 0.81 	g3: 9.55 	g4: 30.74
			Robot 7 	f:57.09 	mf: 93.51 	g0: 0.29 	g1: 1.50 	g2: 0.54 	g3: 4.51 	g4: 63.57
			Robot 8 	f:35.84 	mf: 51.77 	g0: 0.11 	g1: 2.84 	g2: 0.72 	g3: 4.99 	g4: 31.22
			Robot 9 	f:235.80 	mf: 193.31 	g0: 0.73 	g1: 1.60 	g2: 0.83 	g3: 9.54 	g4: 30.57
		Population 8
			Robot 0 	f:162.02 	mf: 119.63 	g0: 0.34 	g1: 1.55 	g2: 0.82 	g3: 0.69 	g4: 40.49
			Robot 1 	f:199.64 	mf: 199.41 	g0: 2.64 	g1: 1.14 	g2: 0.83 	g3: 5.03 	g4: 27.86
			Robot 2 	f:28.74 	mf: 144.05 	g0: 1.79 	g1: 1.51 	g2: 0.83 	g3: 8.82 	g4: 29.20
			Robot 3 	f:242.63 	mf: 161.57 	g0: 1.66 	g1: 1.50 	g2: 0.84 	g3: 4.29 	g4: 45.56
			Robot 4 	f:233.10 	mf: 215.47 	g0: 0.70 	g1: 1.64 	g2: 0.83 	g3: 9.41 	g4: 62.74
			Robot 5 	f:216.63 	mf: 231.61 	g0: 0.81 	g1: 1.53 	g2: 0.83 	g3: 9.13 	g4: 44.13
			Robot 6 	f:187.56 	mf: 211.57 	g0: 0.92 	g1: 0.98 	g2: 0.83 	g3: 8.32 	g4: 86.33
			Robot 7 	f:-517.61 	mf: -135.50 	g0: 0.73 	g1: 2.62 	g2: 0.84 	g3: 8.80 	g4: 19.42
			Robot 8 	f:204.84 	mf: 91.89 	g0: 2.06 	g1: 1.62 	g2: 0.57 	g3: 7.52 	g4: 25.49
			Robot 9 	f:137.48 	mf: 162.90 	g0: 1.23 	g1: 1.54 	g2: 0.83 	g3: 9.16 	g4: 5.90
		Population 9
			Robot 0 	f:164.80 	mf: 111.61 	g0: 2.48 	g1: 1.17 	g2: 0.83 	g3: 0.41 	g4: 19.93
			Robot 1 	f:234.49 	mf: 221.12 	g0: 2.64 	g1: 1.14 	g2: 0.83 	g3: 5.03 	g4: 27.86
			Robot 2 	f:129.06 	mf: 124.57 	g0: 1.58 	g1: 1.17 	g2: 0.83 	g3: 5.29 	g4: 27.95
			Robot 3 	f:177.33 	mf: 196.50 	g0: 2.86 	g1: 1.18 	g2: 0.95 	g3: 4.98 	g4: 29.10
			Robot 4 	f:162.67 	mf: 209.77 	g0: 1.37 	g1: 0.17 	g2: 0.22 	g3: 5.34 	g4: 30.30
			Robot 5 	f:189.11 	mf: 215.36 	g0: 2.51 	g1: 2.48 	g2: 0.91 	g3: 7.88 	g4: 37.19
			Robot 6 	f:160.80 	mf: 193.46 	g0: 2.52 	g1: 1.19 	g2: 0.34 	g3: 5.26 	g4: 7.25
			Robot 7 	f:240.92 	mf: -73.20 	g0: 0.73 	g1: 2.62 	g2: 0.84 	g3: 8.80 	g4: 19.42
			Robot 8 	f:138.23 	mf: 126.30 	g0: 2.60 	g1: 1.17 	g2: 0.32 	g3: 0.89 	g4: 27.69
			Robot 9 	f:240.78 	mf: 204.69 	g0: 1.23 	g1: 1.54 	g2: 0.83 	g3: 9.16 	g4: 5.90
		Population 10
			Robot 0 	f:-437.96 	mf: -37.04 	g0: 2.64 	g1: 1.80 	g2: 0.83 	g3: 3.92 	g4: 74.37
			Robot 1 	f:249.46 	mf: 227.86 	g0: 2.64 	g1: 1.14 	g2: 0.83 	g3: 5.03 	g4: 27.86
			Robot 2 	f:208.24 	mf: 122.01 	g0: 0.50 	g1: 1.14 	g2: 0.83 	g3: 8.17 	g4: 40.55
			Robot 3 	f:-4.14 	mf: 138.61 	g0: 0.79 	g1: 1.14 	g2: 0.48 	g3: 0.55 	g4: 58.23
			Robot 4 	f:65.00 	mf: 153.59 	g0: 1.15 	g1: 0.35 	g2: 0.67 	g3: 3.48 	g4: 66.75
			Robot 5 	f:136.24 	mf: 180.66 	g0: 2.63 	g1: 2.08 	g2: 0.36 	g3: 1.78 	g4: 55.25
			Robot 6 	f:97.11 	mf: 148.49 	g0: 1.03 	g1: 1.34 	g2: 0.80 	g3: 5.05 	g4: 50.27
			Robot 7 	f:233.82 	mf: -14.29 	g0: 2.50 	g1: 1.24 	g2: 0.83 	g3: 5.29 	g4: 77.69
			Robot 8 	f:71.56 	mf: 138.21 	g0: 1.90 	g1: 1.29 	g2: 0.80 	g3: 1.91 	g4: 27.85
			Robot 9 	f:-2.96 	mf: 125.10 	g0: 0.69 	g1: 1.17 	g2: 0.81 	g3: 5.32 	g4: 78.78
		Population 11
			Robot 0 	f:9.98 	mf: -87.73 	g0: 0.24 	g1: 0.31 	g2: 0.74 	g3: 5.45 	g4: 85.68
			Robot 1 	f:237.81 	mf: 240.59 	g0: 2.64 	g1: 1.14 	g2: 0.83 	g3: 5.03 	g4: 27.86
			Robot 2 	f:233.66 	mf: 190.32 	g0: 2.90 	g1: 1.18 	g2: 0.74 	g3: 6.19 	g4: 49.10
			Robot 3 	f:113.36 	mf: 95.52 	g0: 2.51 	g1: 1.05 	g2: 0.81 	g3: 6.83 	g4: 60.83
			Robot 4 	f:193.67 	mf: 140.45 	g0: 2.53 	g1: 1.08 	g2: 0.82 	g3: 4.92 	g4: 30.58
			Robot 5 	f:85.85 	mf: 137.07 	g0: 2.64 	g1: 2.19 	g2: 0.80 	g3: 8.13 	g4: 20.24
			Robot 6 	f:143.39 	mf: 133.77 	g0: 2.75 	g1: 1.90 	g2: 0.83 	g3: 4.17 	g4: 42.76
			Robot 7 	f:-15.35 	mf: 153.13 	g0: 1.43 	g1: 1.15 	g2: 0.07 	g3: 5.05 	g4: 68.91
			Robot 8 	f:-118.39 	mf: 30.46 	g0: 2.59 	g1: 2.49 	g2: 0.82 	g3: 2.00 	g4: 48.23
			Robot 9 	f:233.31 	mf: 157.04 	g0: 2.82 	g1: 1.14 	g2: 0.26 	g3: 3.73 	g4: 31.42
		Population 12
			Robot 0 	f:24.60 	mf: -134.46 	g0: 2.47 	g1: 0.45 	g2: 0.82 	g3: 1.01 	g4: 31.90
			Robot 1 	f:166.59 	mf: 217.95 	g0: 2.64 	g1: 1.14 	g2: 0.83 	g3: 5.03 	g4: 27.86
			Robot 2 	f:103.49 	mf: 181.80 	g0: 0.41 	g1: 1.14 	g2: 0.65 	g3: 8.45 	g4: 59.59
			Robot 3 	f:242.02 	mf: 117.08 	g0: 2.51 	g1: 1.05 	g2: 0.81 	g3: 6.83 	g4: 60.83
			Robot 4 	f:241.94 	mf: 166.87 	g0: 2.53 	g1: 1.08 	g2: 0.82 	g3: 4.92 	g4: 30.58
			Robot 5 	f:233.49 	mf: 151.86 	g0: 2.64 	g1: 2.19 	g2: 0.80 	g3: 8.13 	g4: 20.24
			Robot 6 	f:236.71 	mf: 159.07 	g0: 2.75 	g1: 1.90 	g2: 0.83 	g3: 4.17 	g4: 42.76
			Robot 7 	f:20.29 	mf: 79.59 	g0: 0.56 	g1: 0.53 	g2: 0.78 	g3: 5.03 	g4: 30.73
			Robot 8 	f:-640.47 	mf: -229.10 	g0: 0.56 	g1: 1.23 	g2: 0.42 	g3: 1.73 	g4: 29.28
			Robot 9 	f:77.37 	mf: 102.57 	g0: 2.65 	g1: 0.59 	g2: 0.59 	g3: 1.80 	g4: 68.88
		Population 13
			Robot 0 	f:-706.03 	mf: -223.82 	g0: 2.73 	g1: 2.03 	g2: 0.38 	g3: 2.18 	g4: 61.07
			Robot 1 	f:144.07 	mf: 182.82 	g0: 2.74 	g1: 1.49 	g2: 0.13 	g3: 4.23 	g4: 73.81
