QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.6	 nm: 0.3	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.07 	ga1: 9.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.50 	ga5: 0.33 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.29 	gb1: 0.62 	gb2: 0.15 	gb3: 0.08 	gb4: 0.43 	gb5: 0.62 	gb6: 0.82 	gb7: 0.60 	gb8: 0.64 	gb9: 0.69 	gb10: 1.48 	gb11: -2.20 	gb12: 1.41 	gb13: 0.22 	gb14: -3.47 	gb15: 2.46 	gb16: -2.23 	gb17: 4.00 	gb18: -0.91 	gb19: 3.70
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.07 	ga1: 1.56 	ga2: 0.25 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.35 	gb1: 0.23 	gb2: 0.12 	gb3: 0.67 	gb4: 0.22 	gb5: 0.67 	gb6: 0.27 	gb7: 0.47 	gb8: 0.66 	gb9: 0.06 	gb10: -0.61 	gb11: 3.53 	gb12: -1.78 	gb13: -2.32 	gb14: -3.66 	gb15: -0.46 	gb16: -4.59 	gb17: -2.71 	gb18: 1.30 	gb19: 0.82
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.00 	ga11: 0.00 	gb0: 0.47 	gb1: 0.35 	gb2: 0.11 	gb3: 0.32 	gb4: 0.57 	gb5: 0.62 	gb6: 0.68 	gb7: 0.48 	gb8: 0.34 	gb9: 0.62 	gb10: -2.73 	gb11: -1.58 	gb12: 1.76 	gb13: 0.18 	gb14: -0.36 	gb15: 2.02 	gb16: -3.31 	gb17: 1.27 	gb18: 1.45 	gb19: 4.52
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.96 	ga2: 0.24 	ga3: 0.00 	ga4: 0.57 	ga5: 0.00 	ga6: 0.34 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.06 	ga11: 0.00 	gb0: 0.65 	gb1: 0.28 	gb2: 0.18 	gb3: 0.59 	gb4: 0.29 	gb5: 0.65 	gb6: 0.32 	gb7: 0.21 	gb8: 0.47 	gb9: 0.11 	gb10: 3.77 	gb11: 0.80 	gb12: 0.31 	gb13: -0.77 	gb14: 2.34 	gb15: 0.76 	gb16: -1.49 	gb17: -1.84 	gb18: -1.78 	gb19: -1.42
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.50 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.66 	gb1: 0.50 	gb2: 0.25 	gb3: 0.30 	gb4: 0.19 	gb5: 0.72 	gb6: 0.28 	gb7: 0.69 	gb8: 0.84 	gb9: 0.57 	gb10: 3.70 	gb11: 3.12 	gb12: 0.09 	gb13: 4.18 	gb14: -2.30 	gb15: -3.90 	gb16: -2.31 	gb17: 2.07 	gb18: -3.66 	gb19: 3.86
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.68 	ga3: 0.55 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.42 	gb1: 0.84 	gb2: 0.45 	gb3: 0.61 	gb4: 0.25 	gb5: 0.44 	gb6: 0.80 	gb7: 0.27 	gb8: 0.82 	gb9: 0.17 	gb10: 2.16 	gb11: 3.42 	gb12: -0.03 	gb13: 0.35 	gb14: 2.41 	gb15: -0.19 	gb16: -0.09 	gb17: 3.28 	gb18: -4.35 	gb19: 1.83
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.52 	ga5: 0.00 	ga6: 0.00 	ga7: 0.14 	ga8: 0.33 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.78 	gb1: 0.66 	gb2: 0.45 	gb3: 0.30 	gb4: 0.49 	gb5: 0.56 	gb6: 0.80 	gb7: 0.44 	gb8: 0.71 	gb9: 0.36 	gb10: -2.87 	gb11: 2.51 	gb12: 1.26 	gb13: -0.70 	gb14: 0.75 	gb15: -0.01 	gb16: 0.53 	gb17: 0.13 	gb18: -2.16 	gb19: 1.52
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.10 	ga3: 0.00 	ga4: 0.00 	ga5: 0.37 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.57 	gb1: 0.24 	gb2: 0.43 	gb3: 0.59 	gb4: 0.43 	gb5: 0.65 	gb6: 0.19 	gb7: 0.18 	gb8: 0.77 	gb9: 0.73 	gb10: -1.41 	gb11: 2.21 	gb12: -1.17 	gb13: 4.16 	gb14: -3.20 	gb15: 0.17 	gb16: 1.37 	gb17: -2.55 	gb18: -1.48 	gb19: 3.27
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.37 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.54 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.14 	gb1: 0.57 	gb2: 0.61 	gb3: 0.61 	gb4: 0.50 	gb5: 0.19 	gb6: 0.59 	gb7: 0.65 	gb8: 0.70 	gb9: 0.10 	gb10: -1.33 	gb11: 2.73 	gb12: 1.54 	gb13: -1.92 	gb14: -2.89 	gb15: -3.44 	gb16: -2.95 	gb17: 0.96 	gb18: -0.70 	gb19: 1.99
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.31 	gb1: 0.60 	gb2: 0.17 	gb3: 0.52 	gb4: 0.11 	gb5: 0.15 	gb6: 0.48 	gb7: 0.36 	gb8: 0.48 	gb9: 0.16 	gb10: 2.05 	gb11: 3.69 	gb12: 0.95 	gb13: 2.35 	gb14: -2.57 	gb15: -2.22 	gb16: -4.84 	gb17: 0.54 	gb18: -3.17 	gb19: 3.73
