QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.87 	ga1: 4.25 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.53 	gb1: 0.09 	gb2: 0.79 	gb3: 0.84 	gb4: 0.24 	gb5: 0.26 	gb6: 0.77 	gb7: 0.13 	gb8: 0.67 	gb9: 0.77 	gb10: -0.18 	gb11: -1.10 	gb12: 1.46 	gb13: 0.34 	gb14: -2.55 	gb15: -2.59 	gb16: 3.74 	gb17: 0.82 	gb18: 2.55 	gb19: -0.08
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.77 	ga1: 7.04 	ga2: 0.00 	ga3: 0.00 	ga4: 0.64 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.16 	ga11: 0.70 	gb0: 0.30 	gb1: 0.28 	gb2: 0.57 	gb3: 0.52 	gb4: 0.74 	gb5: 0.22 	gb6: 0.38 	gb7: 0.72 	gb8: 0.83 	gb9: 0.75 	gb10: 2.79 	gb11: -2.43 	gb12: 2.49 	gb13: 1.84 	gb14: -3.57 	gb15: 3.10 	gb16: 0.87 	gb17: 2.33 	gb18: 2.85 	gb19: -1.34
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.60 	ga1: 7.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.40 	gb1: 0.79 	gb2: 0.74 	gb3: 0.23 	gb4: 0.11 	gb5: 0.59 	gb6: 0.80 	gb7: 0.42 	gb8: 0.44 	gb9: 0.55 	gb10: -4.02 	gb11: 2.01 	gb12: -1.13 	gb13: -3.20 	gb14: 0.64 	gb15: -3.88 	gb16: -2.21 	gb17: -0.68 	gb18: 1.47 	gb19: -1.80
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.72 	ga1: 4.23 	ga2: 0.26 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.21 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.80 	gb1: 0.71 	gb2: 0.42 	gb3: 0.81 	gb4: 0.74 	gb5: 0.30 	gb6: 0.35 	gb7: 0.38 	gb8: 0.45 	gb9: 0.19 	gb10: 0.81 	gb11: -3.10 	gb12: 2.16 	gb13: 0.03 	gb14: 0.20 	gb15: -2.06 	gb16: 3.64 	gb17: -1.50 	gb18: 2.97 	gb19: -1.16
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.72 	ga1: 3.76 	ga2: 0.12 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.27 	ga7: 0.00 	ga8: 0.45 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.27 	gb1: 0.20 	gb2: 0.61 	gb3: 0.20 	gb4: 0.41 	gb5: 0.94 	gb6: 0.30 	gb7: 0.23 	gb8: 0.54 	gb9: 0.55 	gb10: -1.50 	gb11: -0.44 	gb12: 0.79 	gb13: 0.18 	gb14: 1.44 	gb15: 0.37 	gb16: -1.40 	gb17: 2.53 	gb18: -3.46 	gb19: 0.11
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.35 	ga1: 5.64 	ga2: 0.00 	ga3: 0.00 	ga4: 0.18 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.78 	gb0: 0.74 	gb1: 0.28 	gb2: 0.84 	gb3: 0.75 	gb4: 0.82 	gb5: 0.56 	gb6: 0.69 	gb7: 0.42 	gb8: 0.40 	gb9: 0.73 	gb10: -0.67 	gb11: -1.75 	gb12: 3.35 	gb13: -2.28 	gb14: 1.59 	gb15: 2.09 	gb16: 0.54 	gb17: 0.80 	gb18: -0.71 	gb19: -1.22
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.47 	ga1: 7.54 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.34 	gb1: 0.21 	gb2: 0.24 	gb3: 0.62 	gb4: 0.73 	gb5: 0.87 	gb6: 0.19 	gb7: 0.60 	gb8: 0.70 	gb9: 0.07 	gb10: -3.90 	gb11: 3.07 	gb12: 0.93 	gb13: -3.07 	gb14: 3.71 	gb15: -2.61 	gb16: 1.19 	gb17: 1.41 	gb18: 2.64 	gb19: 2.59
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 7.65 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.34 	ga10: 0.00 	ga11: 0.00 	gb0: 0.20 	gb1: 0.91 	gb2: 0.14 	gb3: 0.77 	gb4: 0.88 	gb5: 0.69 	gb6: 0.48 	gb7: 0.26 	gb8: 0.71 	gb9: 0.68 	gb10: -1.52 	gb11: 0.94 	gb12: 1.32 	gb13: -1.96 	gb14: -2.42 	gb15: 0.48 	gb16: 3.15 	gb17: 4.44 	gb18: -1.07 	gb19: 3.41
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.57 	ga1: 4.08 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.37 	gb1: 0.19 	gb2: 0.63 	gb3: 0.17 	gb4: 0.85 	gb5: 0.76 	gb6: 0.38 	gb7: 0.69 	gb8: 0.43 	gb9: 0.15 	gb10: 0.38 	gb11: 2.06 	gb12: 0.50 	gb13: -4.02 	gb14: 1.47 	gb15: 3.46 	gb16: -0.26 	gb17: 3.87 	gb18: 0.86 	gb19: -1.89
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.38 	ga1: 6.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.77 	gb1: 0.71 	gb2: 0.66 	gb3: 0.78 	gb4: 0.66 	gb5: 0.87 	gb6: 0.86 	gb7: 0.56 	gb8: 0.95 	gb9: 0.60 	gb10: -1.20 	gb11: -4.11 	gb12: 1.90 	gb13: -2.21 	gb14: -1.21 	gb15: 3.17 	gb16: 1.89 	gb17: 4.66 	gb18: 4.52 	gb19: 0.36
