QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 1.61 	ga1: 3.84 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.65 	ga11: 0.00 	gb0: 0.93 	gb1: 0.67 	gb2: 0.49 	gb3: 0.45 	gb4: 0.28 	gb5: 0.43 	gb6: 0.56 	gb7: 0.51 	gb8: 0.26 	gb9: 0.54 	gb10: -2.41 	gb11: -3.94 	gb12: 3.02 	gb13: -0.01 	gb14: -3.67 	gb15: 3.40 	gb16: -2.92 	gb17: 2.24 	gb18: -3.14 	gb19: -3.43
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 1.55 	ga1: 2.53 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.31 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.29 	gb1: 0.30 	gb2: 0.62 	gb3: 0.33 	gb4: 0.31 	gb5: 0.42 	gb6: 0.71 	gb7: 0.28 	gb8: 0.76 	gb9: 0.24 	gb10: -2.22 	gb11: 2.01 	gb12: -3.48 	gb13: 1.13 	gb14: 3.21 	gb15: -4.07 	gb16: 3.74 	gb17: -0.28 	gb18: 1.68 	gb19: -1.71
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 1.47 	ga1: 1.52 	ga2: 0.31 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.31 	ga8: 0.00 	ga9: 0.00 	ga10: 0.16 	ga11: 0.00 	gb0: 0.50 	gb1: 0.51 	gb2: 0.79 	gb3: 0.81 	gb4: 0.56 	gb5: 0.94 	gb6: 0.85 	gb7: 0.41 	gb8: 0.45 	gb9: 0.34 	gb10: -3.49 	gb11: -0.95 	gb12: 2.81 	gb13: 2.48 	gb14: 1.63 	gb15: 0.24 	gb16: 1.70 	gb17: 2.80 	gb18: 1.53 	gb19: 4.36
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 1.11 	ga1: 7.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.98 	gb1: 0.28 	gb2: 0.43 	gb3: 0.97 	gb4: 0.16 	gb5: 0.48 	gb6: 0.96 	gb7: 0.39 	gb8: 0.79 	gb9: 0.97 	gb10: 4.19 	gb11: -3.03 	gb12: -4.15 	gb13: -3.43 	gb14: 1.90 	gb15: -3.92 	gb16: 4.81 	gb17: -3.17 	gb18: 2.97 	gb19: -1.22
		Population 1
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.03 	ga1: 5.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.04 	ga9: 0.00 	ga10: 0.23 	ga11: 0.00 	gb0: 0.28 	gb1: 0.61 	gb2: 0.88 	gb3: 0.78 	gb4: 0.26 	gb5: 0.68 	gb6: 0.68 	gb7: 0.26 	gb8: 0.22 	gb9: 0.68 	gb10: -2.57 	gb11: 3.81 	gb12: 2.60 	gb13: 0.88 	gb14: -0.62 	gb15: -2.01 	gb16: 3.37 	gb17: -1.74 	gb18: -0.60 	gb19: -1.83
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 4.96 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.24 	ga8: 0.04 	ga9: 0.00 	ga10: 0.23 	ga11: 0.00 	gb0: 0.56 	gb1: 0.62 	gb2: 0.72 	gb3: 0.37 	gb4: 0.89 	gb5: 0.43 	gb6: 0.13 	gb7: 0.51 	gb8: 0.26 	gb9: 0.90 	gb10: 2.74 	gb11: 0.49 	gb12: 0.72 	gb13: 1.68 	gb14: -2.04 	gb15: 0.33 	gb16: -2.34 	gb17: -4.65 	gb18: -3.06 	gb19: -0.99
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 6.47 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.04 	ga9: 0.00 	ga10: 0.23 	ga11: 0.00 	gb0: 0.65 	gb1: 0.16 	gb2: 0.57 	gb3: 0.54 	gb4: 0.15 	gb5: 0.68 	gb6: 0.20 	gb7: 0.70 	gb8: 0.28 	gb9: 0.14 	gb10: 2.25 	gb11: 2.22 	gb12: -1.76 	gb13: 3.45 	gb14: 1.65 	gb15: 3.27 	gb16: 3.19 	gb17: 2.15 	gb18: 1.10 	gb19: 0.06
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.17 	ga1: 4.56 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.04 	ga9: 0.00 	ga10: 0.23 	ga11: 0.00 	gb0: 0.14 	gb1: 0.20 	gb2: 0.34 	gb3: 0.19 	gb4: 0.37 	gb5: 0.35 	gb6: 0.82 	gb7: 0.51 	gb8: 0.43 	gb9: 0.66 	gb10: -1.23 	gb11: -0.04 	gb12: -0.16 	gb13: -1.10 	gb14: 2.64 	gb15: 2.63 	gb16: -2.71 	gb17: -1.16 	gb18: -1.55 	gb19: -1.62
			Robot 4 	f: 1059.02 	mf: 529.50 	ga0: 0.65 	ga1: 4.59 	ga2: 0.00 	ga3: 0.74 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.51 	ga9: 0.00 	ga10: 0.23 	ga11: 0.00 	gb0: 0.50 	gb1: 0.57 	gb2: 0.71 	gb3: 0.84 	gb4: 0.24 	gb5: 0.62 	gb6: 0.63 	gb7: 0.37 	gb8: 0.43 	gb9: 0.32 	gb10: -2.59 	gb11: -0.83 	gb12: -0.32 	gb13: 1.27 	gb14: 3.28 	gb15: -2.79 	gb16: 2.64 	gb17: 0.19 	gb18: 2.33 	gb19: 1.87
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.17 	ga1: 4.61 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.50 	ga8: 0.04 	ga9: 0.00 	ga10: 0.51 	ga11: 0.00 	gb0: 0.61 	gb1: 0.58 	gb2: 0.23 	gb3: 0.40 	gb4: 0.66 	gb5: 0.85 	gb6: 0.27 	gb7: 0.52 	gb8: 0.34 	gb9: 0.53 	gb10: 0.18 	gb11: -2.46 	gb12: 3.54 	gb13: -3.66 	gb14: -0.51 	gb15: -0.43 	gb16: 1.91 	gb17: -3.59 	gb18: -2.63 	gb19: -1.29
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.76 	ga1: 4.36 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.23 	ga6: 0.00 	ga7: 0.00 	ga8: 0.18 	ga9: 0.00 	ga10: 0.23 	ga11: 0.73 	gb0: 0.41 	gb1: 0.72 	gb2: 0.86 	gb3: 0.56 	gb4: 0.30 	gb5: 0.55 	gb6: 0.18 	gb7: 0.13 	gb8: 0.45 	gb9: 0.34 	gb10: -3.58 	gb11: -0.34 	gb12: 1.64 	gb13: -3.18 	gb14: 4.35 	gb15: -2.54 	gb16: 1.64 	gb17: 1.62 	gb18: -0.36 	gb19: 2.81
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 3.84 	ga2: 0.00 	ga3: 0.29 	ga4: 0.05 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.04 	ga9: 0.00 	ga10: 0.23 	ga11: 0.00 	gb0: 0.89 	gb1: 0.63 	gb2: 0.33 	gb3: 0.72 	gb4: 0.42 	gb5: 0.73 	gb6: 0.30 	gb7: 0.40 	gb8: 0.20 	gb9: 0.49 	gb10: 3.12 	gb11: -1.42 	gb12: -0.31 	gb13: -2.16 	gb14: 1.13 	gb15: -2.09 	gb16: -1.66 	gb17: -1.15 	gb18: -1.10 	gb19: 0.39
			Robot 8 	f: 1272.47 	mf: 636.00 	ga0: 0.89 	ga1: 4.38 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.11 	ga9: 0.00 	ga10: 0.58 	ga11: 0.00 	gb0: 0.37 	gb1: 0.48 	gb2: 0.85 	gb3: 0.54 	gb4: 0.67 	gb5: 0.32 	gb6: 0.31 	gb7: 0.38 	gb8: 0.70 	gb9: 0.39 	gb10: 3.34 	gb11: -3.06 	gb12: -2.11 	gb13: 3.96 	gb14: 1.54 	gb15: -3.86 	gb16: -1.94 	gb17: -2.19 	gb18: -0.39 	gb19: 1.93
			Robot 9 	f: 1076.40 	mf: 538.00 	ga0: 1.24 	ga1: 6.18 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.04 	ga9: 0.42 	ga10: 0.23 	ga11: 0.00 	gb0: 0.46 	gb1: 0.51 	gb2: 0.36 	gb3: 0.40 	gb4: 0.38 	gb5: 0.49 	gb6: 0.59 	gb7: 0.81 	gb8: 0.12 	gb9: 0.37 	gb10: 1.29 	gb11: 2.58 	gb12: -3.85 	gb13: 1.21 	gb14: -1.23 	gb15: -1.19 	gb16: 3.82 	gb17: -3.70 	gb18: -2.18 	gb19: -0.99
			Robot 10 	f: -149.71 	mf: -74.50 	ga0: 1.12 	ga1: 6.54 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.21 	ga6: 0.38 	ga7: 0.00 	ga8: 0.04 	ga9: 0.00 	ga10: 0.23 	ga11: 0.42 	gb0: 0.90 	gb1: 0.75 	gb2: 0.63 	gb3: 0.61 	gb4: 0.71 	gb5: 0.18 	gb6: 0.52 	gb7: 0.09 	gb8: 0.78 	gb9: 0.08 	gb10: 3.98 	gb11: -3.14 	gb12: 3.98 	gb13: 3.46 	gb14: -2.14 	gb15: 0.32 	gb16: 1.71 	gb17: -3.61 	gb18: -2.84 	gb19: 3.08
			Robot 11 	f: 585.36 	mf: 292.50 	ga0: 1.33 	ga1: 4.06 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.54 	ga6: 0.00 	ga7: 0.00 	ga8: 0.04 	ga9: 0.00 	ga10: 0.62 	ga11: 0.78 	gb0: 0.86 	gb1: 0.37 	gb2: 0.21 	gb3: 0.87 	gb4: 0.36 	gb5: 0.81 	gb6: 0.88 	gb7: 0.55 	gb8: 0.23 	gb9: 0.61 	gb10: -1.14 	gb11: -1.82 	gb12: 0.65 	gb13: -3.07 	gb14: -0.44 	gb15: -3.12 	gb16: -2.00 	gb17: -1.31 	gb18: 0.54 	gb19: -3.86
