QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 610.03 	mf: 305.00 	ga0: 0.20 	ga1: 2.64 	ga2: 0.76 	ga3: 0.12 	ga4: 0.64 	ga5: 0.70 	ga6: 0.10 	ga7: 0.14 	ga8: 0.25 	ga9: 0.06 	ga10: 0.81 	ga11: 0.83 	gb0: 0.51 	gb1: 0.22 	gb2: 0.70 	gb3: 0.22 	gb4: 0.08 	gb5: 0.37 	gb6: 0.50 	gb7: 0.26 	gb8: 0.79 	gb9: 0.19 	gb10: -2.72 	gb11: 2.99 	gb12: 0.58 	gb13: 2.00 	gb14: 2.26 	gb15: 3.10 	gb16: -1.59 	gb17: -1.60 	gb18: -3.58 	gb19: 1.40
			Robot 1 	f: 621.08 	mf: 310.50 	ga0: 0.56 	ga1: 2.63 	ga2: 0.00 	ga3: 0.11 	ga4: 0.67 	ga5: 0.73 	ga6: 0.56 	ga7: 0.39 	ga8: 0.00 	ga9: 0.09 	ga10: 0.29 	ga11: 0.74 	gb0: 0.32 	gb1: 0.81 	gb2: 0.26 	gb3: 0.82 	gb4: 0.70 	gb5: 0.45 	gb6: 0.65 	gb7: 0.30 	gb8: 0.28 	gb9: 0.44 	gb10: -1.24 	gb11: -3.14 	gb12: 3.85 	gb13: 3.45 	gb14: 2.04 	gb15: -0.34 	gb16: -3.70 	gb17: -2.57 	gb18: 1.46 	gb19: -2.63
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.01 	ga1: 4.03 	ga2: 0.00 	ga3: 0.00 	ga4: 0.27 	ga5: 0.53 	ga6: 0.54 	ga7: 0.38 	ga8: 0.00 	ga9: 0.00 	ga10: 0.14 	ga11: 0.19 	gb0: 0.25 	gb1: 0.85 	gb2: 0.86 	gb3: 0.38 	gb4: 0.35 	gb5: 0.55 	gb6: 0.44 	gb7: 0.18 	gb8: 0.33 	gb9: 0.53 	gb10: -0.08 	gb11: -0.10 	gb12: -0.85 	gb13: 0.18 	gb14: 0.42 	gb15: 1.28 	gb16: -2.69 	gb17: -3.43 	gb18: 3.49 	gb19: 4.13
			Robot 3 	f: 428.13 	mf: 214.00 	ga0: 1.20 	ga1: 3.52 	ga2: 0.53 	ga3: 0.17 	ga4: 0.27 	ga5: 0.30 	ga6: 0.30 	ga7: 0.27 	ga8: 0.00 	ga9: 0.17 	ga10: 0.31 	ga11: 0.39 	gb0: 0.29 	gb1: 0.48 	gb2: 0.50 	gb3: 0.58 	gb4: 0.81 	gb5: 0.47 	gb6: 0.60 	gb7: 0.21 	gb8: 0.19 	gb9: 0.15 	gb10: -1.04 	gb11: -1.60 	gb12: -2.36 	gb13: -1.40 	gb14: -0.01 	gb15: -3.71 	gb16: 0.22 	gb17: -0.20 	gb18: -3.23 	gb19: 2.77
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.15 	ga1: 2.15 	ga2: 0.00 	ga3: 0.00 	ga4: 0.27 	ga5: 0.30 	ga6: 0.34 	ga7: 0.47 	ga8: 0.25 	ga9: 0.00 	ga10: 0.54 	ga11: 0.30 	gb0: 0.15 	gb1: 0.28 	gb2: 0.55 	gb3: 0.24 	gb4: 0.78 	gb5: 0.43 	gb6: 0.23 	gb7: 0.17 	gb8: 0.34 	gb9: 0.28 	gb10: 2.69 	gb11: 1.96 	gb12: -3.80 	gb13: -1.90 	gb14: 0.38 	gb15: 2.11 	gb16: -0.80 	gb17: -2.76 	gb18: -2.47 	gb19: -1.33
			Robot 5 	f: 673.46 	mf: 336.50 	ga0: 1.14 	ga1: 1.63 	ga2: 0.00 	ga3: 0.00 	ga4: 0.68 	ga5: 0.74 	ga6: 0.76 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.36 	ga11: 0.30 	gb0: 0.53 	gb1: 0.82 	gb2: 0.34 	gb3: 0.59 	gb4: 0.60 	gb5: 0.81 	gb6: 0.39 	gb7: 0.52 	gb8: 0.81 	gb9: 0.56 	gb10: 2.52 	gb11: -0.10 	gb12: 3.08 	gb13: 3.25 	gb14: -4.08 	gb15: -2.57 	gb16: -4.39 	gb17: -0.99 	gb18: -0.78 	gb19: 0.33
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.04 	ga1: 5.33 	ga2: 0.13 	ga3: 0.00 	ga4: 0.28 	ga5: 0.74 	ga6: 0.30 	ga7: 0.00 	ga8: 0.00 	ga9: 0.17 	ga10: 0.49 	ga11: 0.59 	gb0: 0.60 	gb1: 0.81 	gb2: 0.84 	gb3: 0.88 	gb4: 0.85 	gb5: 0.30 	gb6: 0.54 	gb7: 0.30 	gb8: 0.21 	gb9: 0.13 	gb10: -2.07 	gb11: -3.79 	gb12: 1.36 	gb13: -3.27 	gb14: -0.05 	gb15: -3.41 	gb16: -2.15 	gb17: 1.38 	gb18: 2.26 	gb19: 2.30
			Robot 7 	f: 2.87 	mf: 1.00 	ga0: 0.70 	ga1: 1.47 	ga2: 0.40 	ga3: 0.00 	ga4: 0.40 	ga5: 0.30 	ga6: 0.30 	ga7: 0.60 	ga8: 0.12 	ga9: 0.00 	ga10: 0.07 	ga11: 0.70 	gb0: 0.20 	gb1: 0.38 	gb2: 0.46 	gb3: 0.23 	gb4: 0.18 	gb5: 0.72 	gb6: 0.19 	gb7: 0.69 	gb8: 0.23 	gb9: 0.20 	gb10: -0.59 	gb11: -3.12 	gb12: 2.50 	gb13: -2.48 	gb14: -1.10 	gb15: -3.70 	gb16: -0.66 	gb17: 1.84 	gb18: -1.73 	gb19: 4.05
			Robot 8 	f: 206.92 	mf: 103.00 	ga0: 1.16 	ga1: 5.40 	ga2: 0.63 	ga3: 0.21 	ga4: 0.72 	ga5: 0.30 	ga6: 0.30 	ga7: 0.00 	ga8: 0.36 	ga9: 0.01 	ga10: 0.26 	ga11: 0.67 	gb0: 0.14 	gb1: 0.24 	gb2: 0.13 	gb3: 0.24 	gb4: 0.74 	gb5: 0.24 	gb6: 0.41 	gb7: 0.68 	gb8: 0.78 	gb9: 0.77 	gb10: 1.64 	gb11: -1.50 	gb12: 0.20 	gb13: -1.31 	gb14: -2.27 	gb15: -0.07 	gb16: 1.65 	gb17: 0.40 	gb18: -2.23 	gb19: -0.98
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.57 	ga1: 5.15 	ga2: 0.00 	ga3: 0.00 	ga4: 0.08 	ga5: 0.30 	ga6: 0.30 	ga7: 0.00 	ga8: 0.00 	ga9: 0.31 	ga10: 0.14 	ga11: 0.12 	gb0: 0.21 	gb1: 0.76 	gb2: 0.07 	gb3: 0.52 	gb4: 0.44 	gb5: 0.37 	gb6: 0.41 	gb7: 0.53 	gb8: 0.71 	gb9: 0.56 	gb10: -2.02 	gb11: 3.20 	gb12: -3.88 	gb13: 2.98 	gb14: -1.00 	gb15: -1.89 	gb16: 0.32 	gb17: -4.51 	gb18: 2.63 	gb19: -1.07
		Population 2
			Robot 0 	f: -429.12 	mf: 60.33 	ga0: 0.11 	ga1: 2.23 	ga2: 0.45 	ga3: 0.07 	ga4: 0.66 	ga5: 0.72 	ga6: 0.36 	ga7: 0.08 	ga8: 0.15 	ga9: 0.04 	ga10: 0.63 	ga11: 0.61 	gb0: 0.56 	gb1: 0.21 	gb2: 0.41 	gb3: 0.85 	gb4: 0.48 	gb5: 0.58 	gb6: 0.61 	gb7: 0.53 	gb8: 0.54 	gb9: 0.58 	gb10: 0.79 	gb11: 3.38 	gb12: -0.88 	gb13: 2.50 	gb14: 2.51 	gb15: 3.78 	gb16: -0.17 	gb17: -2.32 	gb18: -2.06 	gb19: -2.29
			Robot 1 	f: 53.14 	mf: 224.67 	ga0: 0.56 	ga1: 2.63 	ga2: 0.00 	ga3: 0.11 	ga4: 0.67 	ga5: 0.73 	ga6: 0.56 	ga7: 0.39 	ga8: 0.00 	ga9: 0.09 	ga10: 0.29 	ga11: 0.74 	gb0: 0.32 	gb1: 0.81 	gb2: 0.26 	gb3: 0.82 	gb4: 0.70 	gb5: 0.45 	gb6: 0.65 	gb7: 0.30 	gb8: 0.28 	gb9: 0.44 	gb10: -1.24 	gb11: -3.14 	gb12: 3.85 	gb13: 3.45 	gb14: 2.04 	gb15: -0.34 	gb16: -3.70 	gb17: -2.57 	gb18: 1.46 	gb19: -2.63
