QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3.54	 mr: 0.9	 nc: 0.25	 nm: 0.17	 bmp: 0.6	 cc: 2.56
	Repetition 0
		Population 0
			Robot 1 	f: 4.12 	ga0: -7.96 	ga1: 0.66 	ga2: 0.36 	ga3: 0.47 	ga4: 0.31 	ga5: 0.25 	ga6: 0.56 	gb0: -6.79 	gb1: 1.04 	gb2: 0.19 	gb3: 0.34 	gb4: 0.37 	gb5: 0.08 	gb6: 0.72 	gb7: -0.09 	gb8: -0.14 	gb9: -0.10
			Robot 2 	f: -359.59 	ga0: -9.15 	ga1: 2.75 	ga2: 0.60 	ga3: 0.56 	ga4: 0.29 	ga5: 0.16 	ga6: 0.27 	gb0: -8.10 	gb1: 2.41 	gb2: 0.45 	gb3: 0.41 	gb4: 0.14 	gb5: 0.30 	gb6: 0.46 	gb7: -0.03 	gb8: -0.10 	gb9: -0.22
			Robot 3 	f: 93.30 	ga0: -6.61 	ga1: 1.29 	ga2: 0.29 	ga3: 0.25 	ga4: 0.00 	ga5: 0.16 	ga6: 0.32 	gb0: -4.90 	gb1: 0.89 	gb2: 0.27 	gb3: 0.21 	gb4: 0.13 	gb5: 0.27 	gb6: 0.96 	gb7: -0.47 	gb8: -0.27 	gb9: -0.45
			Robot 4 	f: 14.14 	ga0: -8.71 	ga1: 3.51 	ga2: 0.25 	ga3: 0.27 	ga4: 0.41 	ga5: 0.15 	ga6: 0.26 	gb0: -7.39 	gb1: 3.05 	gb2: 0.14 	gb3: 0.35 	gb4: 0.36 	gb5: 0.08 	gb6: 0.47 	gb7: -0.23 	gb8: -0.18 	gb9: -0.23
			Robot 5 	f: 38.52 	ga0: -7.96 	ga1: 3.03 	ga2: 0.54 	ga3: 0.27 	ga4: 0.05 	ga5: 0.21 	ga6: 0.38 	gb0: -6.95 	gb1: 2.73 	gb2: 0.56 	gb3: 0.19 	gb4: 0.07 	gb5: 0.25 	gb6: 0.41 	gb7: -0.15 	gb8: -0.20 	gb9: -0.10
			Robot 6 	f: -61.65 	ga0: -8.41 	ga1: -1.99 	ga2: 0.30 	ga3: 0.50 	ga4: 0.31 	ga5: 0.22 	ga6: 0.43 	gb0: -7.40 	gb1: -1.27 	gb2: 0.23 	gb3: 0.27 	gb4: 0.37 	gb5: 0.30 	gb6: 0.52 	gb7: -0.01 	gb8: -0.03 	gb9: -0.06
			Robot 7 	f: -589.53 	ga0: -9.20 	ga1: 2.24 	ga2: 0.67 	ga3: 0.57 	ga4: 0.17 	ga5: 0.49 	ga6: 0.63 	gb0: -8.05 	gb1: 2.32 	gb2: 0.46 	gb3: 0.59 	gb4: 0.05 	gb5: 0.34 	gb6: 0.84 	gb7: -0.05 	gb8: -0.03 	gb9: -0.18
			Robot 8 	f: -464.87 	ga0: -8.40 	ga1: -1.80 	ga2: 0.29 	ga3: 0.63 	ga4: 0.14 	ga5: 0.49 	ga6: 0.55 	gb0: -7.61 	gb1: -0.90 	gb2: 0.26 	gb3: 0.65 	gb4: 0.16 	gb5: 0.41 	gb6: 0.60 	gb7: -0.24 	gb8: -0.10 	gb9: -0.13
			Robot 9 	f: 0.00 	ga0: -7.96 	ga1: -2.44 	ga2: 0.34 	ga3: 0.19 	ga4: 0.11 	ga5: 0.45 	ga6: 0.33 	gb0: -6.81 	gb1: -1.56 	gb2: 0.30 	gb3: 0.18 	gb4: 0.13 	gb5: 0.44 	gb6: 0.39 	gb7: -0.21 	gb8: 0.04 	gb9: -0.23
			Robot 10 	f: -447.79 	ga0: -9.20 	ga1: 2.61 	ga2: 0.47 	ga3: 0.22 	ga4: 0.28 	ga5: 0.12 	ga6: 0.44 	gb0: -8.25 	gb1: 2.09 	gb2: 0.45 	gb3: 0.27 	gb4: 0.31 	gb5: 0.25 	gb6: 0.47 	gb7: -0.17 	gb8: -0.07 	gb9: -0.17
			Robot 11 	f: -543.67 	ga0: -8.45 	ga1: -0.31 	ga2: 0.36 	ga3: 0.27 	ga4: 0.40 	ga5: 0.39 	ga6: 0.58 	gb0: -7.60 	gb1: 0.02 	gb2: 0.42 	gb3: 0.22 	gb4: 0.30 	gb5: 0.47 	gb6: 0.56 	gb7: -0.16 	gb8: -0.24 	gb9: -0.10
			Robot 12 	f: 0.00 	ga0: -8.71 	ga1: 2.23 	ga2: 0.42 	ga3: 0.46 	ga4: 0.15 	ga5: 0.31 	ga6: 0.48 	gb0: -7.58 	gb1: 1.97 	gb2: 0.47 	gb3: 0.38 	gb4: 0.01 	gb5: 0.41 	gb6: 0.55 	gb7: -0.23 	gb8: -0.12 	gb9: -0.05
			Robot 13 	f: -574.95 	ga0: -9.20 	ga1: -3.29 	ga2: 0.48 	ga3: 0.40 	ga4: 0.10 	ga5: 0.31 	ga6: 0.50 	gb0: -8.11 	gb1: -2.29 	gb2: 0.37 	gb3: 0.47 	gb4: 0.14 	gb5: 0.24 	gb6: 0.66 	gb7: -0.16 	gb8: -0.09 	gb9: -0.09
			Robot 14 	f: 0.00 	ga0: -8.71 	ga1: -0.75 	ga2: 0.23 	ga3: 0.54 	ga4: 0.16 	ga5: 0.27 	ga6: 0.35 	gb0: -7.32 	gb1: -0.31 	gb2: 0.17 	gb3: 0.37 	gb4: 0.06 	gb5: 0.33 	gb6: 0.58 	gb7: -0.18 	gb8: -0.15 	gb9: -0.24
		Population 2
			Robot 0 	f: 351.19 	ga0: -9.56 	ga1: -3.28 	ga2: 0.69 	ga3: 0.31 	ga4: 0.17 	ga5: 0.58 	ga6: 0.74 	gb0: -8.92 	gb1: -2.57 	gb2: 0.46 	gb3: 0.18 	gb4: 0.29 	gb5: 0.48 	gb6: 0.65 	gb7: -0.19 	gb8: 0.08 	gb9: 0.05
			Robot 1 	f: 268.38 	ga0: -8.74 	ga1: 2.58 	ga2: 0.66 	ga3: 0.37 	ga4: 0.16 	ga5: 0.46 	ga6: 0.40 	gb0: -8.41 	gb1: 1.61 	gb2: 0.56 	gb3: 0.36 	gb4: 0.04 	gb5: 0.46 	gb6: 0.50 	gb7: -0.11 	gb8: -0.09 	gb9: -0.08
			Robot 2 	f: -500.78 	ga0: -8.81 	ga1: -1.14 	ga2: 0.67 	ga3: 0.47 	ga4: 0.20 	ga5: 0.63 	ga6: 0.64 	gb0: -8.42 	gb1: -0.91 	gb2: 0.67 	gb3: 0.43 	gb4: 0.12 	gb5: 0.72 	gb6: 0.45 	gb7: -0.09 	gb8: 0.09 	gb9: -0.14
