QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -150
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 3 	f: 149.61 	mf: 163.20
			Robot 4 	f: 216.92 	mf: 105.80
			Robot 5 	f: 4.27 	mf: 55.60
			Robot 6 	f: 12.83 	mf: -1661.60
			Robot 7 	f: 29.28 	mf: 69.80
			Robot 8 	f: 0.00 	mf: 47.40
			Robot 9 	f: 253.17 	mf: 131.40
		Population 13
			Robot 0 	f: 0.00 	mf: -1690.80
			Robot 1 	f: 10.56 	mf: 5.40
			Robot 2 	f: 0.00 	mf: 64.20
			Robot 3 	f: 339.16 	mf: 164.80
			Robot 4 	f: 0.00 	mf: 105.80
			Robot 5 	f: 404.33 	mf: 136.00
			Robot 6 	f: 352.30 	mf: -1593.00
			Robot 7 	f: 3.20 	mf: 70.40
			Robot 8 	f: 355.69 	mf: 118.40
			Robot 9 	f: 8.64 	mf: 132.40
		Population 14
			Robot 0 	f: 14.06 	mf: 26.60
			Robot 1 	f: 355.57 	mf: 74.60
			Robot 2 	f: 3.68 	mf: 64.80
			Robot 3 	f: 359.89 	mf: 212.80
			Robot 4 	f: 0.00 	mf: 45.80
			Robot 5 	f: 395.72 	mf: 214.60
			Robot 6 	f: 325.23 	mf: 188.00
			Robot 7 	f: 375.91 	mf: 81.80
			Robot 8 	f: 0.00 	mf: 118.40
			Robot 9 	f: 0.32 	mf: 82.00
		Population 15
			Robot 0 	f: 335.64 	mf: 90.00
			Robot 1 	f: 0.00 	mf: 74.60
			Robot 2 	f: 10.82 	mf: 2.60
			Robot 3 	f: 0.00 	mf: 170.00
			Robot 4 	f: 253.28 	mf: 95.80
			Robot 5 	f: 1.92 	mf: 160.80
			Robot 6 	f: 10.72 	mf: 139.80
			Robot 7 	f: 18.60 	mf: 85.40
			Robot 8 	f: 378.39 	mf: 146.60
			Robot 9 	f: 395.39 	mf: 133.60
		Population 16
			Robot 0 	f: 385.45 	mf: 167.00
			Robot 1 	f: 0.00 	mf: 73.00
			Robot 2 	f: 23.09 	mf: 7.20
			Robot 3 	f: 34.82 	mf: 176.20
			Robot 4 	f: 21.65 	mf: 98.00
			Robot 5 	f: -1510.27 	mf: -141.20
			Robot 6 	f: 11.18 	mf: 142.00
			Robot 7 	f: 2.40 	mf: 85.40
			Robot 8 	f: 387.56 	mf: 224.00
			Robot 9 	f: -1510.57 	mf: -170.80
		Population 17
			Robot 0 	f: 6.40 	mf: 148.00
			Robot 1 	f: 4.16 	mf: 73.80
			Robot 2 	f: 249.14 	mf: 57.00
			Robot 3 	f: 4.85 	mf: 147.20
			Robot 4 	f: 274.20 	mf: 109.60
			Robot 5 	f: 250.58 	mf: -92.00
			Robot 6 	f: 21.58 	mf: 143.80
			Robot 7 	f: 0.00 	mf: 79.60
			Robot 8 	f: 0.00 	mf: 224.00
			Robot 9 	f: 371.92 	mf: -147.20
		Population 18
			Robot 0 	f: 402.89 	mf: 228.40
			Robot 1 	f: 256.75 	mf: 123.00
			Robot 2 	f: 1.12 	mf: 57.20
			Robot 3 	f: 332.93 	mf: 145.80
			Robot 4 	f: 4.12 	mf: 110.40
			Robot 5 	f: 269.97 	mf: -119.00
			Robot 6 	f: 4.16 	mf: 74.20
			Robot 7 	f: 4.96 	mf: 79.80
