QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.16 	ga1: 1.14 	ga2: 0.23 	ga3: 0.00 	ga4: 0.03 	ga5: 0.00 	ga6: 0.06 	gb0: 0.15 	gb1: 0.77 	gb2: -0.07 	gb3: -0.06 	gb4: 0.05 	gb5: 0.45 	gb6: 1.49 	gb7: 0.23 	gb8: 1.67 	gb9: 0.35
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.16 	ga1: 2.85 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.24 	gb0: -0.08 	gb1: 2.18 	gb2: -0.22 	gb3: -0.09 	gb4: -0.06 	gb5: 0.34 	gb6: 1.39 	gb7: -0.07 	gb8: 1.73 	gb9: 0.61
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.17 	ga1: 3.03 	ga2: 0.21 	ga3: 0.00 	ga4: 0.00 	ga5: 0.09 	ga6: 0.00 	gb0: -0.04 	gb1: 2.31 	gb2: -0.02 	gb3: -0.06 	gb4: -0.02 	gb5: 0.51 	gb6: 1.72 	gb7: 0.24 	gb8: 1.39 	gb9: 0.39
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.14 	ga1: -0.47 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.07 	gb1: 0.23 	gb2: -0.26 	gb3: -0.03 	gb4: -0.04 	gb5: 0.12 	gb6: 1.33 	gb7: 0.03 	gb8: 1.25 	gb9: 0.74
			Robot 4 	f: -577.07 	mf: -288.50 	ga0: -2.34 	ga1: 2.75 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -1.86 	gb1: 2.10 	gb2: -0.17 	gb3: -0.20 	gb4: 0.08 	gb5: 0.53 	gb6: 1.37 	gb7: 0.12 	gb8: 1.82 	gb9: 0.38
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: -4.44 	ga1: 3.62 	ga2: 0.00 	ga3: 0.00 	ga4: 0.05 	ga5: 0.00 	ga6: 0.00 	gb0: -2.33 	gb1: 2.78 	gb2: -0.33 	gb3: 0.01 	gb4: -0.07 	gb5: 0.77 	gb6: 1.40 	gb7: 0.09 	gb8: 1.53 	gb9: 0.23
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: -4.97 	ga1: 1.62 	ga2: 0.00 	ga3: 0.00 	ga4: 0.05 	ga5: 0.00 	ga6: 0.00 	gb0: -2.66 	gb1: 1.03 	gb2: -0.28 	gb3: -0.10 	gb4: -0.06 	gb5: 0.58 	gb6: 1.65 	gb7: -0.17 	gb8: 1.22 	gb9: 0.50
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 1.33 	ga2: 0.00 	ga3: 0.00 	ga4: 0.09 	ga5: 0.00 	ga6: 0.32 	gb0: -0.09 	gb1: 0.99 	gb2: -0.43 	gb3: 0.02 	gb4: -0.09 	gb5: 0.42 	gb6: 1.91 	gb7: -0.28 	gb8: 1.25 	gb9: 0.71
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.22 	ga1: 2.18 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.20 	gb0: 0.08 	gb1: 1.47 	gb2: -0.29 	gb3: -0.14 	gb4: -0.08 	gb5: 0.49 	gb6: 1.98 	gb7: -0.01 	gb8: 1.65 	gb9: 0.40
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.19 	ga1: 3.12 	ga2: 0.00 	ga3: 0.08 	ga4: 0.22 	ga5: 0.00 	ga6: 0.04 	gb0: 0.05 	gb1: 2.34 	gb2: -0.32 	gb3: -0.22 	gb4: 0.18 	gb5: 0.37 	gb6: 1.71 	gb7: -0.34 	gb8: 1.34 	gb9: 0.84
