QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 6.86	 mr: 0.58	 nc: 0.6	 nm: 0.59	 bmp: 0.62	 cc: 0.03
	Repetition 0
		Population 0
			Robot 3 	f: 408.72 	mf: 473.51
			Robot 4 	f: 346.65 	mf: 356.14
			Robot 5 	f: 497.78 	mf: 421.61
			Robot 6 	f: 316.55 	mf: 362.38
			Robot 7 	f: 495.47 	mf: 458.80
			Robot 8 	f: 459.67 	mf: 367.05
			Robot 9 	f: 367.05 	mf: 436.33
		Population 13
			Robot 0 	f: 386.57 	mf: 390.96
			Robot 1 	f: 499.03 	mf: 493.34
			Robot 2 	f: 450.42 	mf: 371.71
			Robot 3 	f: 273.91 	mf: 433.62
			Robot 4 	f: 313.84 	mf: 342.23
			Robot 5 	f: 498.82 	mf: 440.66
			Robot 6 	f: 377.92 	mf: 367.71
			Robot 7 	f: 481.18 	mf: 477.73
			Robot 8 	f: 292.40 	mf: 342.95
			Robot 9 	f: 466.64 	mf: 427.28
		Population 14
			Robot 0 	f: 398.19 	mf: 384.12
			Robot 1 	f: 500.21 	mf: 493.37
			Robot 2 	f: 483.33 	mf: 396.18
			Robot 3 	f: 382.41 	mf: 411.41
			Robot 4 	f: -71.95 	mf: 270.08
			Robot 5 	f: 505.42 	mf: 445.47
			Robot 6 	f: 427.27 	mf: 369.02
			Robot 7 	f: 333.73 	mf: 461.84
			Robot 8 	f: 341.48 	mf: 356.65
			Robot 9 	f: 306.39 	mf: 389.99
		Population 15
			Robot 0 	f: 474.57 	mf: 402.03
			Robot 1 	f: 439.01 	mf: 483.22
			Robot 2 	f: 305.78 	mf: 390.31
			Robot 3 	f: 429.71 	mf: 401.96
			Robot 4 	f: 467.44 	mf: 274.91
			Robot 5 	f: 478.12 	mf: 467.78
			Robot 6 	f: 451.81 	mf: 371.15
			Robot 7 	f: 280.74 	mf: 425.35
			Robot 8 	f: 422.16 	mf: 381.17
			Robot 9 	f: 326.89 	mf: 362.59
		Population 16
			Robot 0 	f: 431.17 	mf: 400.68
			Robot 1 	f: 487.87 	mf: 480.80
			Robot 2 	f: 207.86 	mf: 366.92
			Robot 3 	f: 457.86 	mf: 391.17
			Robot 4 	f: 412.60 	mf: 294.32
			Robot 5 	f: 444.63 	mf: 469.01
			Robot 6 	f: 459.03 	mf: 383.65
			Robot 7 	f: 403.93 	mf: 409.86
			Robot 8 	f: 263.64 	mf: 367.81
			Robot 9 	f: 406.39 	mf: 369.38
		Population 17
			Robot 0 	f: 501.06 	mf: 437.55
			Robot 1 	f: 504.79 	mf: 487.67
			Robot 2 	f: 493.86 	mf: 383.66
			Robot 3 	f: 377.75 	mf: 388.39
			Robot 4 	f: 471.16 	mf: 323.29
			Robot 5 	f: 417.00 	mf: 473.63
			Robot 6 	f: 347.73 	mf: 396.72
			Robot 7 	f: 393.37 	mf: 398.07
			Robot 8 	f: 373.48 	mf: 358.81
			Robot 9 	f: 465.55 	mf: 389.82
		Population 18
			Robot 0 	f: 499.48 	mf: 448.51
			Robot 1 	f: 440.57 	mf: 478.58
			Robot 2 	f: 481.72 	mf: 403.83
			Robot 3 	f: 483.17 	mf: 400.80
			Robot 4 	f: 360.54 	mf: 325.61
			Robot 5 	f: 344.93 	mf: 448.15
			Robot 6 	f: 368.24 	mf: 405.33
			Robot 7 	f: 460.90 	mf: 392.31
			Robot 8 	f: 293.15 	mf: 331.05
			Robot 9 	f: 456.22 	mf: 404.68
		Population 19
			Robot 0 	f: 489.87 	mf: 465.72
			Robot 1 	f: 493.62 	mf: 477.68
			Robot 2 	f: 493.98 	mf: 411.09
			Robot 3 	f: 478.72 	mf: 434.93
			Robot 4 	f: 350.37 	mf: 331.69
			Robot 5 	f: 452.80 	mf: 440.48
			Robot 6 	f: 446.66 	mf: 416.79
			Robot 7 	f: 462.40 	mf: 389.18
			Robot 8 	f: 419.19 	mf: 352.19
			Robot 9 	f: 467.55 	mf: 404.83
		Population 20
			Robot 0 	f: 480.02 	mf: 479.36
			Robot 1 	f: 488.66 	mf: 475.75
			Robot 2 	f: 486.42 	mf: 411.60
			Robot 3 	f: 490.95 	mf: 453.03
			Robot 4 	f: 289.28 	mf: 391.90
			Robot 5 	f: 415.90 	mf: 425.56
			Robot 6 	f: 440.87 	mf: 419.06
			Robot 7 	f: 466.59 	mf: 411.32
			Robot 8 	f: 330.33 	mf: 350.33
			Robot 9 	f: 325.87 	mf: 408.08
		Population 21
			Robot 0 	f: 497.40 	mf: 483.17
			Robot 1 	f: 486.52 	mf: 483.67
			Robot 2 	f: 498.51 	mf: 443.72
			Robot 3 	f: 424.97 	mf: 452.24
			Robot 4 	f: 213.21 	mf: 349.53
			Robot 5 	f: 257.10 	mf: 388.73
			Robot 6 	f: 381.05 	mf: 407.26
			Robot 7 	f: 467.03 	mf: 442.37
			Robot 8 	f: 355.40 	mf: 339.20
			Robot 9 	f: 308.41 	mf: 405.00
		Population 22
			Robot 0 	f: 479.09 	mf: 491.15
			Robot 1 	f: 497.51 	mf: 485.28
			Robot 2 	f: 482.90 	mf: 489.56
			Robot 3 	f: 498.60 	mf: 459.03
			Robot 4 	f: 343.22 	mf: 337.96
			Robot 5 	f: 322.39 	mf: 368.35
			Robot 6 	f: 451.02 	mf: 405.93
			Robot 7 	f: 476.46 	mf: 454.46
			Robot 8 	f: 354.15 	mf: 354.28
			Robot 9 	f: 367.71 	mf: 398.55
		Population 23
			Robot 0 	f: 490.14 	mf: 489.33
			Robot 1 	f: 490.75 	mf: 482.94
			Robot 2 	f: 491.79 	mf: 489.22
			Robot 3 	f: 496.59 	mf: 478.83
			Robot 4 	f: 431.43 	mf: 331.34
			Robot 5 	f: 56.38 	mf: 308.25
			Robot 6 	f: 295.26 	mf: 397.18
			Robot 7 	f: 436.47 	mf: 461.64
			Robot 8 	f: 422.40 	mf: 362.44
			Robot 9 	f: 422.03 	mf: 391.30
		Population 24
			Robot 0 	f: 421.15 	mf: 476.28
			Robot 1 	f: 379.22 	mf: 472.71
			Robot 2 	f: 462.59 	mf: 486.03
			Robot 3 	f: 346.66 	mf: 456.08
			Robot 4 	f: 462.55 	mf: 348.34
			Robot 5 	f: 342.59 	mf: 307.86
			Robot 6 	f: 370.80 	mf: 397.61
			Robot 7 	f: 458.77 	mf: 461.29
			Robot 8 	f: 453.64 	mf: 389.19
			Robot 9 	f: 468.77 	mf: 393.39
		Population 25
			Robot 0 	f: 445.38 	mf: 468.87
			Robot 1 	f: 426.25 	mf: 461.49
			Robot 2 	f: 280.42 	mf: 450.44
			Robot 3 	f: 471.07 	mf: 454.81
			Robot 4 	f: 504.87 	mf: 374.09
