QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 5940.93 	mf: 2970.00 	ga0: 1.11 	ga1: 1.34 	ga2: 0.00 	ga3: 0.00 	ga4: 0.34 	ga5: 0.17 	ga6: 0.15 	ga7: 0.46 	ga8: 0.68 	ga9: 0.38 	ga10: 0.37 	ga11: 0.18 	gb0: 0.61 	gb1: 0.67 	gb2: 0.35 	gb3: 0.67 	gb4: 0.78 	gb5: 0.36 	gb6: 0.66 	gb7: 0.53 	gb8: 0.58 	gb9: 0.24 	gb10: 2.89 	gb11: -1.74 	gb12: 3.66 	gb13: -0.07 	gb14: -0.25 	gb15: 2.07 	gb16: 1.33 	gb17: 2.27 	gb18: -1.75 	gb19: 0.49
			Robot 1 	f: 5654.26 	mf: 2827.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.30 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.76 	ga8: 0.38 	ga9: 0.41 	ga10: 0.00 	ga11: 0.00 	gb0: 0.71 	gb1: 0.60 	gb2: 0.66 	gb3: 0.47 	gb4: 0.21 	gb5: 0.78 	gb6: 0.18 	gb7: 0.28 	gb8: 0.50 	gb9: 0.60 	gb10: 2.94 	gb11: -0.94 	gb12: 0.14 	gb13: 3.03 	gb14: 0.01 	gb15: 1.93 	gb16: 1.45 	gb17: 2.95 	gb18: 2.53 	gb19: 0.76
			Robot 2 	f: 4325.42 	mf: 2162.50 	ga0: 0.22 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.64 	ga7: 0.56 	ga8: 0.34 	ga9: 0.00 	ga10: 0.18 	ga11: 0.09 	gb0: 0.42 	gb1: 0.32 	gb2: 0.53 	gb3: 0.59 	gb4: 0.17 	gb5: 0.83 	gb6: 0.28 	gb7: 0.09 	gb8: 0.09 	gb9: 0.59 	gb10: 1.49 	gb11: 3.46 	gb12: 4.37 	gb13: -0.70 	gb14: 1.27 	gb15: 1.75 	gb16: -1.40 	gb17: 3.76 	gb18: 0.22 	gb19: -3.33
			Robot 3 	f: 5383.73 	mf: 2691.50 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.01 	ga5: 0.45 	ga6: 0.02 	ga7: 0.53 	ga8: 0.52 	ga9: 0.00 	ga10: 0.16 	ga11: 0.31 	gb0: 0.58 	gb1: 0.18 	gb2: 0.49 	gb3: 0.66 	gb4: 0.15 	gb5: 0.60 	gb6: 0.63 	gb7: 0.21 	gb8: 0.54 	gb9: 0.68 	gb10: -3.08 	gb11: -2.70 	gb12: 1.40 	gb13: -4.22 	gb14: -3.45 	gb15: 1.98 	gb16: 0.58 	gb17: 1.89 	gb18: -3.04 	gb19: -2.90
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.32 	ga1: 2.70 	ga2: 0.71 	ga3: 0.00 	ga4: 0.47 	ga5: 0.59 	ga6: 0.33 	ga7: 0.28 	ga8: 0.28 	ga9: 0.00 	ga10: 0.26 	ga11: 0.10 	gb0: 0.51 	gb1: 0.73 	gb2: 0.60 	gb3: 0.63 	gb4: 0.42 	gb5: 0.63 	gb6: 0.67 	gb7: 0.08 	gb8: 0.34 	gb9: 0.38 	gb10: 3.37 	gb11: -1.07 	gb12: 3.80 	gb13: 3.64 	gb14: 3.00 	gb15: -1.02 	gb16: 1.08 	gb17: -2.49 	gb18: -1.86 	gb19: 1.66
			Robot 5 	f: -1.00 	mf: -0.50 	ga0: 0.31 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.01 	ga5: 0.00 	ga6: 0.02 	ga7: 0.00 	ga8: 0.11 	ga9: 0.62 	ga10: 0.16 	ga11: 0.06 	gb0: 0.41 	gb1: 0.19 	gb2: 0.91 	gb3: 0.30 	gb4: 0.57 	gb5: 0.75 	gb6: 0.14 	gb7: 0.37 	gb8: 0.66 	gb9: 0.85 	gb10: -3.13 	gb11: 1.19 	gb12: -0.48 	gb13: 2.00 	gb14: -2.37 	gb15: 1.84 	gb16: -1.42 	gb17: 4.03 	gb18: -2.93 	gb19: -2.48
			Robot 6 	f: 3061.68 	mf: 1530.50 	ga0: 1.32 	ga1: 2.94 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.15 	ga6: 0.25 	ga7: 0.23 	ga8: 0.34 	ga9: 0.22 	ga10: 0.18 	ga11: 0.34 	gb0: 0.83 	gb1: 0.62 	gb2: 0.15 	gb3: 0.39 	gb4: 0.87 	gb5: 0.10 	gb6: 0.65 	gb7: 0.55 	gb8: 0.69 	gb9: 0.46 	gb10: -0.25 	gb11: -2.95 	gb12: 2.71 	gb13: 1.96 	gb14: -1.55 	gb15: -1.39 	gb16: -2.38 	gb17: 1.69 	gb18: -2.24 	gb19: 3.50
			Robot 7 	f: 5940.93 	mf: 2970.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.01 	ga5: 0.15 	ga6: 0.02 	ga7: 0.00 	ga8: 0.11 	ga9: 0.00 	ga10: 0.16 	ga11: 0.31 	gb0: 0.59 	gb1: 0.52 	gb2: 0.40 	gb3: 0.70 	gb4: 0.41 	gb5: 0.38 	gb6: 0.21 	gb7: 0.51 	gb8: 0.32 	gb9: 0.62 	gb10: 0.29 	gb11: -1.89 	gb12: -1.18 	gb13: -1.76 	gb14: 0.45 	gb15: 0.90 	gb16: -3.10 	gb17: 1.28 	gb18: 2.18 	gb19: -2.61
			Robot 8 	f: 5181.75 	mf: 2590.50 	ga0: 1.11 	ga1: 3.74 	ga2: 0.26 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.01 	ga7: 0.00 	ga8: 0.06 	ga9: 0.00 	ga10: 0.08 	ga11: 0.03 	gb0: 0.51 	gb1: 0.16 	gb2: 0.18 	gb3: 0.27 	gb4: 0.72 	gb5: 0.43 	gb6: 0.33 	gb7: 0.72 	gb8: 0.52 	gb9: 0.68 	gb10: -2.94 	gb11: -0.27 	gb12: 0.68 	gb13: 2.39 	gb14: 1.97 	gb15: 0.61 	gb16: -3.18 	gb17: 0.11 	gb18: 3.11 	gb19: 1.28
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.43 	ga1: 3.74 	ga2: 0.00 	ga3: 0.00 	ga4: 0.74 	ga5: 0.00 	ga6: 0.09 	ga7: 0.14 	ga8: 0.82 	ga9: 0.56 	ga10: 0.21 	ga11: 0.08 	gb0: 0.23 	gb1: 0.84 	gb2: 0.71 	gb3: 0.28 	gb4: 0.22 	gb5: 0.32 	gb6: 0.24 	gb7: 0.72 	gb8: 0.16 	gb9: 0.12 	gb10: -1.48 	gb11: 0.40 	gb12: -2.18 	gb13: -2.68 	gb14: -1.64 	gb15: -2.25 	gb16: 2.83 	gb17: -3.40 	gb18: 0.06 	gb19: 0.25
